# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = timeseries_model
# start_datetime = 2023-01-12 14:24:26 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       iter = 50 (Default)
#     tol_rel_obj = 0.01 (Default)
#     eval_elbo = 100 (Default)
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file = examples\timeseries\timeseries.data.R
# init = 2 (Default)
# random
#   seed = 2911352597 (Default)
# output
#   file = examples\timeseries\timeseriesvar.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,log_p__,log_g__,alpha,beta,lambda
# Stepsize adaptation complete.
# eta = 1
0,-34.5862,-4.56688,-1.68421,0.541962,0.53891
0,-26.8459,-0.591299,-1.64071,0.691978,0.483615
0,-27.6356,-0.602858,-1.56415,0.544861,0.485276
0,-29.3362,-1.98031,-1.58607,0.526019,0.515121
0,-28.3582,-0.980387,-1.62677,0.546518,0.493661
0,-29.8769,-1.75686,-1.44576,0.670022,0.448102
0,-29.4316,-3.5626,-1.72177,0.809038,0.479877
0,-26.5559,-0.364969,-1.58464,0.67544,0.493925
0,-26.3662,-0.531466,-1.59827,0.698389,0.458324
0,-26.7675,-0.767071,-1.4769,0.679839,0.481879
0,-29.6757,-2.0286,-1.72729,0.616431,0.493139
0,-28.2113,-1.12163,-1.66992,0.665421,0.497508
0,-26.8987,-0.302546,-1.5826,0.598473,0.459603
0,-26.4473,-0.593035,-1.57021,0.714624,0.492015
0,-31.4691,-6.13149,-1.57262,0.742305,0.559339
0,-26.4307,-2.00498,-1.66559,0.688041,0.436656
0,-28.8674,-3.49802,-1.36292,0.718824,0.48626
0,-27.0453,-0.238978,-1.58441,0.577491,0.478624
0,-27.0493,-0.957787,-1.52674,0.592141,0.505779
0,-26.2639,-0.941288,-1.50297,0.6868,0.500054
0,-26.3058,-0.341282,-1.6261,0.669414,0.467245
0,-26.6588,-0.971429,-1.5516,0.6876,0.507523
0,-28.1118,-2.59313,-1.517,0.828664,0.470193
0,-27.0513,-0.655555,-1.60196,0.675577,0.500949
0,-35.7506,-6.3396,-1.6252,0.436194,0.544116
0,-28.5161,-0.999588,-1.53079,0.520319,0.46888
0,-27.5109,-0.500097,-1.59276,0.553782,0.482469
0,-29.0307,-1.11543,-1.49938,0.562172,0.452825
0,-27.8062,-0.652779,-1.56293,0.545631,0.46288
0,-29.1398,-3.27231,-1.48864,0.840531,0.462776
0,-26.8622,-1.25334,-1.46664,0.60878,0.499756
0,-31.7418,-4.58168,-1.50919,0.810243,0.420729
0,-28.6332,-1.9435,-1.40966,0.68271,0.473145
0,-26.6569,-0.0887445,-1.5377,0.624846,0.474052
0,-27.0835,-1.46275,-1.60365,0.782981,0.48035
0,-28.4169,-2.44121,-1.4139,0.556021,0.496185
0,-28.6938,-1.5573,-1.66859,0.518716,0.476272
0,-26.713,-0.243936,-1.52232,0.663096,0.469242
0,-30.0445,-1.79171,-1.43476,0.560834,0.462235
0,-26.7599,-1.96603,-1.42937,0.689548,0.498348
0,-28.77,-2.65941,-1.50285,0.815535,0.45664
0,-26.4437,-0.384347,-1.56972,0.678013,0.494602
0,-26.4838,-0.456555,-1.54917,0.71493,0.469335
0,-26.5165,-2.47388,-1.42616,0.665354,0.511121
0,-26.4425,-0.634879,-1.64737,0.688997,0.46835
0,-26.6281,-0.462946,-1.59132,0.644096,0.452214
0,-31.9054,-2.54849,-1.41366,0.624031,0.443237
0,-29.7761,-2.71164,-1.41166,0.749208,0.462136
0,-26.4198,-0.966488,-1.62082,0.7138,0.452784
0,-30.4081,-3.09369,-1.36156,0.602375,0.476407
0,-27.505,-1.50474,-1.48966,0.558288,0.504909
0,-26.4014,-0.180025,-1.57642,0.661792,0.489065
0,-29.5564,-2.06201,-1.59376,0.468272,0.457866
0,-26.922,-4.37272,-1.45003,0.778608,0.527481
0,-27.1565,-0.38044,-1.53249,0.57512,0.482785
0,-27.6283,-1.90911,-1.52749,0.800011,0.466433
0,-34.3914,-5.11114,-1.35613,0.46167,0.47123
0,-30.0273,-3.82518,-1.42219,0.474979,0.504771
0,-26.425,-0.202778,-1.58801,0.649529,0.46086
0,-27.4595,-0.908211,-1.62638,0.549064,0.459376
0,-26.6044,-0.640789,-1.56505,0.723695,0.461618
0,-26.3605,-0.233924,-1.62079,0.664706,0.472827
0,-28.407,-1.947,-1.73472,0.639309,0.477648
0,-28.8766,-1.90687,-1.44214,0.732011,0.460866
0,-27.8707,-0.857111,-1.51189,0.541937,0.483658
0,-26.5493,-1.37854,-1.45472,0.667251,0.497834
0,-30.4442,-2.59435,-1.68772,0.719158,0.514838
0,-26.5095,-0.140743,-1.61481,0.64026,0.477695
0,-27.0105,-1.00819,-1.67357,0.699464,0.475844
0,-28.5565,-1.1546,-1.5714,0.503206,0.48265
0,-27.7984,-2.50522,-1.55239,0.833094,0.478288
0,-29.02,-1.17787,-1.49389,0.619195,0.44486
0,-26.2807,-0.925334,-1.50638,0.677914,0.501794
0,-27.6026,-0.911407,-1.5072,0.707309,0.455842
0,-26.4132,-2.75636,-1.42976,0.706024,0.512888
0,-28.0155,-0.921528,-1.51614,0.533751,0.48339
0,-26.2983,-1.72047,-1.46786,0.689115,0.507997
0,-26.9543,-1.52615,-1.46409,0.738264,0.485208
0,-26.4336,-0.188932,-1.61888,0.656403,0.476278
0,-28.8849,-1.36266,-1.68482,0.578776,0.492612
0,-29.7575,-2.04562,-1.69312,0.691519,0.507513
0,-41.032,-6.84001,-1.32401,0.602724,0.418449
0,-26.3064,-0.247074,-1.55295,0.66602,0.490517
0,-27.1166,-0.397244,-1.59406,0.607545,0.495663
0,-29.3566,-2.79852,-1.37857,0.69841,0.475144
0,-26.8244,-0.479178,-1.58219,0.649471,0.500145
0,-30.3694,-4.93646,-1.57628,0.802557,0.412416
0,-27.1269,-0.488094,-1.64798,0.607425,0.479386
0,-26.4574,-0.438591,-1.53345,0.709401,0.474388
0,-27.5415,-0.619706,-1.57006,0.570311,0.454706
0,-27.5568,-2.33058,-1.6136,0.816194,0.462532
0,-26.9714,-1.24519,-1.53485,0.628978,0.514357
0,-26.5291,-0.618291,-1.58595,0.700823,0.454829
0,-28.5024,-2.50726,-1.73824,0.723124,0.476527
0,-32.306,-3.83389,-1.36052,0.525572,0.47217
0,-28.0237,-1.28666,-1.44213,0.59441,0.480819
0,-27.8321,-0.798848,-1.58615,0.558331,0.498429
0,-32.4279,-4.95417,-1.32828,0.519363,0.483892
0,-27.1936,-0.695767,-1.48836,0.689353,0.468492
0,-27.2787,-0.69125,-1.5767,0.60574,0.504301
0,-26.68,-1.1396,-1.50289,0.746366,0.483378
0,-28.4683,-1.75067,-1.69796,0.540722,0.472084
0,-26.4848,-0.411326,-1.64225,0.642582,0.468035
0,-30.0896,-3.15991,-1.62872,0.742923,0.529148
0,-26.8243,-1.14123,-1.55761,0.768669,0.471484
0,-26.9466,-1.37073,-1.58981,0.754065,0.451295
0,-28.1035,-0.867606,-1.54998,0.52287,0.48126
0,-26.5904,-1.05092,-1.67493,0.626552,0.457136
0,-26.3705,-0.518378,-1.56234,0.726061,0.477505
0,-26.8091,-0.268191,-1.53188,0.598687,0.48527
0,-26.483,-3.29852,-1.45778,0.708317,0.527637
0,-30.0964,-2.7805,-1.59908,0.461109,0.443844
0,-28.4348,-1.12184,-1.65876,0.549236,0.4865
0,-30.5272,-3.76033,-1.33739,0.634588,0.480014
0,-26.6174,-0.968807,-1.63039,0.740819,0.470214
0,-26.4726,-0.473306,-1.60985,0.640514,0.454062
0,-28.1162,-1.56295,-1.68641,0.722224,0.489013
0,-30.3405,-5.55709,-1.52401,0.925526,0.480637
0,-27.1405,-1.516,-1.59336,0.784173,0.486381
0,-27.8172,-1.03063,-1.68075,0.586775,0.478959
0,-27.1598,-1.50986,-1.43578,0.684349,0.486756
0,-28.9333,-1.40588,-1.59074,0.4903,0.482401
0,-26.2631,-0.180995,-1.55821,0.688028,0.476704
0,-26.3433,-0.0754307,-1.58658,0.649342,0.467878
0,-30.7114,-2.08427,-1.45525,0.514665,0.459006
0,-28.1018,-1.63242,-1.60789,0.705283,0.515757
0,-26.8622,-0.935766,-1.62472,0.740637,0.482815
0,-26.7131,-0.387988,-1.63359,0.670056,0.4826
0,-27.5967,-0.707795,-1.6602,0.601836,0.484629
0,-26.8213,-0.879763,-1.65311,0.592042,0.457015
0,-26.836,-2.5269,-1.44743,0.761497,0.500359
0,-29.448,-2.02511,-1.58167,0.5094,0.511765
0,-28.6961,-1.5482,-1.46537,0.529069,0.483212
0,-29.9161,-2.20831,-1.50151,0.466238,0.48372
0,-27.057,-0.766569,-1.58994,0.618502,0.445322
0,-26.7807,-2.32002,-1.70439,0.732721,0.451778
0,-26.8669,-1.68755,-1.61766,0.754558,0.446984
0,-27.0918,-1.99292,-1.63649,0.620829,0.429577
0,-27.6892,-0.669796,-1.5811,0.55336,0.492876
0,-27.3829,-1.05098,-1.56429,0.678045,0.441062
0,-26.5437,-2.23959,-1.44716,0.731494,0.503578
0,-28.7636,-1.22742,-1.54976,0.526162,0.452234
0,-27.4906,-0.819972,-1.48751,0.695017,0.46356
0,-29.0745,-1.46351,-1.49573,0.506279,0.47597
0,-27.5036,-1.76064,-1.58314,0.722826,0.435349
0,-29.8655,-3.11645,-1.48302,0.810567,0.447127
0,-26.6738,-1.16694,-1.55163,0.763088,0.488107
0,-28.2463,-2.3718,-1.46956,0.796104,0.469961
0,-27.4077,-1.91652,-1.53341,0.805021,0.474525
0,-28.4836,-1.06846,-1.66211,0.577021,0.493719
0,-30.7285,-2.05397,-1.49241,0.517698,0.445054
0,-27.8857,-0.722351,-1.60153,0.541652,0.486478
0,-29.8596,-1.98146,-1.554,0.478585,0.453209
0,-26.5111,-0.0578986,-1.5659,0.624008,0.483463
0,-31.1016,-3.83651,-1.62235,0.695594,0.542336
0,-34.2101,-4.48581,-1.32624,0.648216,0.453882
0,-31.1858,-3.14638,-1.56989,0.429843,0.500369
0,-26.6922,-0.415477,-1.62303,0.601715,0.462011
0,-26.8,-2.12652,-1.70366,0.598873,0.444364
0,-26.4296,-1.47842,-1.51282,0.722053,0.507442
0,-27.4093,-0.450771,-1.60216,0.562098,0.48222
0,-30.2319,-3.37421,-1.70923,0.461955,0.465513
0,-28.5439,-0.988807,-1.53319,0.525293,0.463829
0,-26.9316,-0.208685,-1.57674,0.588752,0.466746
0,-29.2694,-4.97145,-1.39541,0.498569,0.521909
0,-29.1593,-1.6435,-1.59189,0.509542,0.503591
0,-29.2368,-1.22061,-1.48403,0.605203,0.447287
0,-26.6434,-0.0634999,-1.56012,0.609379,0.479087
0,-26.5323,-1.85793,-1.66233,0.731898,0.446188
0,-28.6309,-2.29148,-1.62398,0.511276,0.438137
0,-28.8332,-1.33308,-1.5383,0.495823,0.479897
0,-28.5377,-1.42157,-1.50633,0.705346,0.443169
0,-26.4368,-0.0793293,-1.60341,0.641703,0.477634
0,-26.6156,-0.351476,-1.61073,0.611601,0.459676
0,-28.1652,-0.938972,-1.58643,0.531609,0.492964
0,-30.9289,-2.4766,-1.40885,0.540604,0.465781
0,-27.8136,-1.8847,-1.6957,0.544688,0.458418
0,-26.3947,-0.560186,-1.55621,0.693782,0.496609
0,-26.5219,-0.636178,-1.62462,0.626464,0.45236
0,-26.8114,-1.28398,-1.61218,0.769039,0.468349
0,-26.8796,-0.747082,-1.56893,0.695481,0.449738
0,-27.1541,-3.25607,-1.39092,0.623796,0.511851
0,-28.5488,-1.37159,-1.57363,0.526333,0.503791
0,-28.4202,-0.819713,-1.49137,0.591229,0.457901
0,-27.1811,-0.31896,-1.58549,0.5673,0.474106
0,-26.5809,-1.30096,-1.66454,0.725592,0.46102
0,-29.7584,-2.23077,-1.5493,0.467199,0.498432
0,-26.7988,-0.262102,-1.60446,0.639207,0.491082
0,-26.4472,-0.799683,-1.54126,0.683475,0.503565
0,-33.2297,-3.9688,-1.71051,0.702875,0.530133
0,-27.4722,-0.785596,-1.59073,0.616818,0.50658
0,-26.6604,-0.24735,-1.5593,0.61683,0.492355
0,-26.3571,-0.48522,-1.5763,0.722607,0.479544
0,-28.445,-1.16059,-1.5134,0.517007,0.48187
0,-28.0781,-1.79669,-1.53156,0.765551,0.447404
0,-26.3273,-0.0151752,-1.57484,0.649266,0.477928
0,-26.8725,-1.19271,-1.58454,0.746158,0.452671
0,-27.969,-0.950794,-1.48304,0.686242,0.457681
0,-27.4552,-0.510825,-1.56985,0.566399,0.459638
0,-37.1325,-5.80259,-1.42807,0.402582,0.440725
0,-27.088,-0.337793,-1.6257,0.607354,0.485283
0,-26.2904,-0.471342,-1.53862,0.677332,0.495175
0,-27.1085,-0.980349,-1.57014,0.656058,0.510953
0,-27.7482,-1.0258,-1.52947,0.542915,0.497116
0,-27.956,-0.939603,-1.55305,0.599302,0.443117
0,-27.6643,-0.517014,-1.54847,0.55277,0.468592
0,-27.0196,-0.347575,-1.51777,0.659429,0.463529
0,-28.0466,-1.68918,-1.47453,0.535786,0.498519
0,-26.9605,-1.67948,-1.69101,0.586877,0.450719
0,-27.3763,-1.51789,-1.55933,0.766514,0.452217
0,-26.5826,-0.989759,-1.65933,0.712617,0.466811
0,-26.6119,-0.567907,-1.57978,0.693395,0.497235
0,-27.2294,-0.808735,-1.47584,0.687462,0.471917
0,-27.0831,-1.83594,-1.71888,0.679557,0.462477
0,-28.2073,-1.85966,-1.54391,0.743768,0.438641
0,-27.4089,-0.513422,-1.58065,0.568905,0.492562
0,-28.7399,-1.82467,-1.5208,0.501953,0.501427
0,-26.446,-0.15601,-1.56669,0.643273,0.489752
0,-26.9921,-0.439194,-1.53835,0.672713,0.456707
0,-27.9603,-1.05908,-1.65393,0.682132,0.499453
0,-27.6247,-2.39133,-1.56116,0.776811,0.513985
0,-26.7176,-1.01392,-1.65312,0.726454,0.471252
0,-26.7076,-1.03099,-1.65945,0.601315,0.453278
0,-27.7969,-1.37147,-1.70799,0.620559,0.475825
0,-26.2668,-0.271469,-1.58945,0.693509,0.468476
0,-28.1202,-6.79338,-1.46203,0.714611,0.560546
0,-26.6202,-0.589921,-1.48976,0.637597,0.488609
0,-26.8979,-0.363797,-1.56116,0.641292,0.454337
0,-27.4687,-1.51383,-1.42812,0.642403,0.486794
0,-27.117,-0.407251,-1.52382,0.579916,0.483679
0,-29.1188,-1.87729,-1.70969,0.551466,0.48217
0,-28.7192,-1.18136,-1.66446,0.60457,0.500943
0,-27.6733,-0.907705,-1.51648,0.698166,0.45148
0,-30.39,-1.99687,-1.41556,0.627793,0.455505
0,-26.2442,-0.138043,-1.56217,0.68014,0.479594
0,-27.952,-0.950609,-1.45736,0.646899,0.468193
0,-26.3626,-3.35144,-1.42339,0.698243,0.521259
0,-28.5855,-1.80595,-1.42096,0.695112,0.469888
0,-27.6273,-1.62201,-1.59465,0.738903,0.510173
0,-29.0015,-2.45034,-1.47099,0.788859,0.457106
0,-33.9089,-3.48129,-1.38511,0.595568,0.440126
0,-29.7289,-3.59981,-1.58448,0.611452,0.408837
0,-26.3225,-0.992228,-1.51392,0.719546,0.496246
0,-26.771,-0.0901968,-1.56067,0.602198,0.472428
0,-27.1434,-0.805408,-1.67354,0.661978,0.479059
0,-29.1799,-1.66256,-1.43197,0.679417,0.459549
0,-26.6201,-0.46836,-1.6398,0.681005,0.477981
0,-27.5581,-1.50092,-1.65315,0.757742,0.485902
0,-31.6752,-3.50168,-1.74001,0.7397,0.506932
0,-28.9966,-1.96952,-1.66475,0.492647,0.468749
0,-27.7374,-1.1421,-1.64882,0.712587,0.496731
0,-28.3128,-1.80241,-1.49237,0.765603,0.455868
0,-30.8419,-2.25809,-1.45245,0.677266,0.436982
0,-27.2684,-0.439872,-1.63293,0.593667,0.483767
0,-26.7817,-0.794382,-1.56974,0.717836,0.453811
0,-26.818,-0.38356,-1.6088,0.592473,0.461389
0,-28.7284,-1.44099,-1.64922,0.510559,0.478228
0,-31.4468,-6.19379,-1.85467,0.694096,0.468754
0,-26.4905,-0.828361,-1.54668,0.690816,0.503612
0,-26.6938,-0.464518,-1.50229,0.682351,0.475296
0,-29.1681,-1.42129,-1.65092,0.58652,0.508073
0,-41.5869,-7.83046,-1.33228,0.730739,0.410634
0,-28.001,-0.740013,-1.48746,0.643059,0.457811
0,-33.9483,-4.84732,-1.50338,0.596436,0.401182
0,-26.578,-0.887014,-1.56593,0.735626,0.494065
0,-26.2609,-0.210142,-1.60594,0.673236,0.468766
0,-27.5979,-1.04456,-1.45144,0.663975,0.474409
0,-27.3582,-1.04322,-1.59269,0.602129,0.441117
0,-28.2058,-0.83145,-1.48543,0.568948,0.469333
0,-26.6502,-0.932971,-1.58576,0.755058,0.480967
0,-27.4297,-0.598944,-1.62566,0.638022,0.498089
0,-27.3997,-0.625695,-1.48281,0.658863,0.46767
0,-26.9801,-0.397152,-1.50454,0.604465,0.481149
0,-26.5694,-0.399942,-1.58246,0.676468,0.49509
0,-26.3255,-0.123432,-1.57996,0.66458,0.46638
0,-29.2657,-1.62571,-1.64589,0.625423,0.515463
0,-29.8217,-1.91362,-1.68232,0.659952,0.51152
0,-28.22,-2.28381,-1.5249,0.806978,0.456881
0,-27.4557,-0.50314,-1.61046,0.588961,0.493714
0,-27.3101,-2.32799,-1.40301,0.664486,0.496273
0,-26.5005,-1.38184,-1.65568,0.729629,0.45557
0,-29.0337,-2.41881,-1.66179,0.480616,0.45606
0,-30.3183,-4.73466,-1.44141,0.871372,0.470082
0,-30.7386,-2.68413,-1.54539,0.497268,0.433164
0,-26.5039,-1.66973,-1.51283,0.726186,0.510286
0,-27.6749,-0.592072,-1.57289,0.543893,0.467572
0,-27.8446,-1.97746,-1.66498,0.528215,0.447848
0,-27.6303,-1.29381,-1.70284,0.61274,0.473527
0,-27.9424,-1.25167,-1.44133,0.604065,0.480298
0,-31.4532,-6.09595,-1.58281,0.72659,0.392338
0,-29.0137,-1.34764,-1.64238,0.536239,0.497032
0,-29.0092,-1.92896,-1.67035,0.729441,0.505214
0,-28.9634,-4.11855,-1.77652,0.758045,0.464715
0,-28.3541,-0.973805,-1.63842,0.58408,0.500559
0,-30.0582,-2.28541,-1.68044,0.489538,0.484979
0,-29.3658,-1.47647,-1.44912,0.657752,0.452653
0,-27.9771,-0.907915,-1.53851,0.529395,0.487733
0,-28.2093,-1.45192,-1.63754,0.712725,0.50725
0,-27.9946,-0.925745,-1.53593,0.634595,0.442933
0,-29.3229,-3.73558,-1.79468,0.662228,0.469286
0,-27.096,-0.754881,-1.50543,0.58078,0.494002
0,-28.2832,-0.951837,-1.61537,0.547166,0.495731
0,-27.0862,-1.62216,-1.48189,0.764062,0.481858
0,-27.1089,-0.412296,-1.57016,0.601502,0.454964
0,-26.3956,-0.6373,-1.62112,0.653137,0.451928
0,-28.4067,-1.63444,-1.67632,0.726887,0.495999
0,-26.9397,-0.340998,-1.57166,0.613171,0.455858
0,-26.8241,-1.81687,-1.65024,0.615552,0.434363
0,-26.7633,-0.359733,-1.60785,0.666165,0.492113
0,-26.3648,-0.126231,-1.53918,0.665697,0.476755
0,-26.766,-0.822397,-1.56034,0.667118,0.507027
0,-26.9588,-0.215026,-1.59389,0.58351,0.47657
0,-27.9626,-1.56346,-1.61484,0.72581,0.510257
0,-26.5431,-0.937195,-1.61526,0.669054,0.445121
0,-27.0286,-2.52634,-1.51981,0.753178,0.51947
0,-32.1843,-4.27778,-1.65813,0.393728,0.468331
0,-28.8193,-3.66396,-1.5899,0.818686,0.43177
0,-32.6799,-4.92105,-1.47774,0.824455,0.424645
0,-26.6809,-0.748721,-1.56638,0.729467,0.459795
0,-26.5483,-0.264638,-1.5728,0.659628,0.458495
0,-31.4962,-2.40977,-1.45775,0.50807,0.450927
0,-26.5352,-0.0493899,-1.54528,0.62983,0.475905
0,-28.5917,-4.40025,-1.66826,0.856256,0.447445
0,-29.4913,-1.39674,-1.49194,0.604543,0.441865
0,-27.6615,-0.538236,-1.55268,0.546494,0.473415
0,-28.6203,-1.70068,-1.52519,0.50667,0.501014
0,-26.7743,-1.18692,-1.67509,0.601693,0.455067
0,-26.8965,-0.826284,-1.58876,0.655471,0.444081
0,-28.0691,-1.68131,-1.55317,0.711309,0.434926
0,-26.6954,-3.29418,-1.72652,0.608166,0.432094
0,-27.9103,-0.885591,-1.67089,0.603679,0.487156
0,-30.0838,-2.71678,-1.72003,0.740162,0.499215
0,-28.1377,-0.703204,-1.50679,0.567258,0.463719
0,-27.6565,-1.9523,-1.56517,0.695086,0.52313
0,-28.5275,-1.19003,-1.67815,0.57782,0.48954
0,-28.7071,-1.22736,-1.60929,0.515506,0.491894
0,-26.6678,-0.154362,-1.52763,0.646172,0.471152
0,-30.2395,-3.16668,-1.50673,0.779477,0.430951
0,-27.0294,-2.02159,-1.41801,0.66417,0.497042
0,-27.6824,-1.16826,-1.48226,0.555767,0.492108
0,-31.5352,-2.29687,-1.43982,0.55425,0.446312
0,-27.1241,-0.614701,-1.64881,0.585326,0.471191
0,-30.5534,-2.67383,-1.52678,0.439845,0.487672
0,-28.1918,-1.26598,-1.67461,0.690481,0.495751
0,-31.0802,-3.3856,-1.60341,0.546307,0.535949
0,-28.1915,-3.37631,-1.65051,0.841549,0.458557
0,-29.6282,-2.15713,-1.72773,0.674412,0.495002
0,-26.5035,-0.788055,-1.56373,0.745574,0.481543
0,-27.9903,-0.924795,-1.46142,0.650976,0.465919
0,-27.022,-1.11287,-1.57078,0.732287,0.449666
0,-26.5363,-1.8184,-1.64789,0.705886,0.4384
0,-27.8842,-1.10259,-1.44612,0.620056,0.476525
0,-26.8269,-0.664647,-1.6161,0.598303,0.452279
0,-26.3616,-0.204537,-1.55056,0.649804,0.490299
0,-27.4633,-0.848533,-1.67234,0.661213,0.485375
0,-27.7404,-0.682744,-1.539,0.616137,0.448328
0,-27.7453,-0.719251,-1.56219,0.541662,0.489535
0,-28.8504,-1.27563,-1.55277,0.496668,0.470312
0,-30.0813,-2.21827,-1.55356,0.45134,0.483356
0,-29.5311,-1.66083,-1.44847,0.540106,0.46944
0,-31.752,-2.76745,-1.70106,0.608898,0.519831
0,-26.2861,-0.866284,-1.51686,0.709446,0.496163
0,-27.1801,-1.02407,-1.48109,0.720683,0.472487
0,-26.3499,-0.104943,-1.57776,0.659476,0.485121
0,-28.2838,-2.41243,-1.74115,0.706142,0.473892
0,-26.6306,-0.42233,-1.53237,0.701522,0.467806
0,-26.3186,-0.215519,-1.53412,0.677378,0.479935
0,-26.582,-0.640994,-1.53946,0.639203,0.502935
0,-31.8601,-3.17804,-1.50671,0.424775,0.465717
0,-26.3618,-0.448795,-1.60391,0.712901,0.475123
0,-26.4285,-0.550251,-1.59283,0.696218,0.456415
0,-31.7171,-2.83038,-1.38425,0.651013,0.452781
0,-30.0056,-2.61924,-1.54522,0.602217,0.419432
0,-27.2818,-0.941687,-1.67579,0.591602,0.470031
0,-27.6213,-1.55458,-1.54888,0.758097,0.448499
0,-27.5435,-1.00585,-1.6872,0.614052,0.477239
0,-26.716,-0.376581,-1.58697,0.656056,0.496545
0,-26.3858,-0.746698,-1.49763,0.649983,0.497281
0,-27.7373,-0.608794,-1.53565,0.545659,0.476818
0,-27.8008,-1.36532,-1.55489,0.693032,0.437476
0,-26.3691,-0.276829,-1.60934,0.644105,0.46099
0,-28.0918,-1.06526,-1.54235,0.630897,0.439848
0,-26.5977,-0.437551,-1.5766,0.674152,0.454647
0,-28.7774,-1.98595,-1.58454,0.546374,0.432542
0,-26.5726,-0.607669,-1.5844,0.712851,0.492768
0,-27.2088,-0.499995,-1.6028,0.56509,0.464007
0,-34.7262,-4.94692,-1.66187,0.447898,0.528193
0,-26.8797,-1.4243,-1.53828,0.779823,0.48268
0,-26.4389,-0.700963,-1.56298,0.734842,0.485935
0,-26.3932,-0.809222,-1.62479,0.664886,0.44911
0,-34.6613,-5.14665,-1.65103,0.395984,0.512904
0,-30.2489,-2.89667,-1.49096,0.452795,0.496419
0,-32.4654,-4.20782,-1.48164,0.761865,0.417802
0,-26.6525,-0.108344,-1.57157,0.61913,0.464991
0,-29.2908,-1.31469,-1.50712,0.526954,0.456975
0,-26.5313,-0.265594,-1.59632,0.629312,0.459014
0,-28.8104,-1.27026,-1.55397,0.516117,0.454875
0,-27.9222,-0.711665,-1.56149,0.53922,0.463858
0,-26.9491,-0.687571,-1.48363,0.610216,0.48768
0,-28.0016,-0.931384,-1.49869,0.682662,0.452217
0,-26.534,-0.793486,-1.4798,0.654599,0.491483
0,-27.7656,-0.765786,-1.63761,0.55308,0.479303
0,-27.0267,-0.620117,-1.6539,0.595338,0.470559
0,-26.8482,-1.93624,-1.71006,0.609551,0.450549
0,-28.2846,-1.74854,-1.72116,0.59351,0.475161
0,-30.6715,-2.18118,-1.68244,0.579601,0.513224
0,-32.5313,-4.28662,-1.58032,0.398038,0.445361
0,-28.1095,-2.89973,-1.69399,0.802981,0.468774
0,-28.239,-1.12474,-1.46544,0.684935,0.459728
0,-27.5969,-0.688289,-1.56108,0.552256,0.493147
0,-27.4079,-0.394015,-1.51531,0.622356,0.461195
0,-29.6033,-1.92506,-1.60295,0.513068,0.509784
0,-28.5254,-2.82833,-1.58707,0.777501,0.520442
0,-28.0057,-1.65585,-1.55097,0.574596,0.518138
0,-28.0242,-2.5289,-1.64615,0.81864,0.477104
0,-26.339,-0.467134,-1.56663,0.721406,0.478725
0,-26.4961,-1.38042,-1.51253,0.67064,0.512933
0,-28.4331,-0.945827,-1.51281,0.532203,0.470251
0,-26.7703,-0.263844,-1.51335,0.653408,0.471706
0,-28.4802,-2.52428,-1.57513,0.705779,0.422643
0,-28.1201,-2.38318,-1.44671,0.537221,0.505598
0,-27.3979,-0.550529,-1.55447,0.611011,0.450623
0,-26.3707,-0.354066,-1.61036,0.64829,0.458332
0,-29.006,-2.87682,-1.65942,0.816159,0.493755
0,-29.4233,-2.25532,-1.7181,0.532369,0.478794
0,-29.2737,-1.56773,-1.5,0.497539,0.475116
0,-26.9101,-1.30679,-1.6568,0.584078,0.447839
0,-26.455,-1.20044,-1.6371,0.663013,0.442847
0,-26.4491,-0.354155,-1.62017,0.689209,0.478285
0,-26.8354,-0.198782,-1.611,0.601282,0.478615
0,-31.0336,-2.90458,-1.37051,0.600393,0.46753
0,-27.3976,-1.3417,-1.52799,0.763117,0.460118
0,-28.6671,-1.61049,-1.50363,0.505109,0.492085
0,-26.2867,-0.362226,-1.56265,0.709861,0.480128
0,-28.6606,-2.4531,-1.53466,0.789944,0.442606
0,-26.9382,-0.245566,-1.61515,0.600868,0.481573
0,-26.5183,-1.74733,-1.65093,0.724164,0.44369
0,-33.4534,-3.77664,-1.41567,0.4638,0.458456
0,-28.5775,-1.16534,-1.53051,0.507926,0.479334
0,-27.1117,-0.534275,-1.61812,0.570131,0.464475
0,-30.2966,-2.54152,-1.60412,0.52297,0.522028
0,-26.917,-1.23163,-1.64242,0.752978,0.474267
0,-27.9892,-1.61264,-1.60374,0.557131,0.437554
0,-33.2001,-3.8992,-1.51075,0.437155,0.437345
0,-26.6787,-0.465954,-1.50888,0.614482,0.490337
0,-29.0659,-1.55309,-1.56684,0.501132,0.453061
0,-27.093,-1.66597,-1.44476,0.722489,0.486323
0,-29.926,-2.09644,-1.71264,0.551324,0.491393
0,-30.4241,-7.11219,-1.73963,0.899054,0.447645
0,-28.5386,-2.12176,-1.41554,0.566537,0.489104
0,-28.0008,-0.938983,-1.47724,0.678693,0.459206
