# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = timeseries_model
# start_datetime = 2023-01-12 14:24:26 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       iter = 50 (Default)
#     tol_rel_obj = 0.01 (Default)
#     eval_elbo = 100 (Default)
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file = examples\timeseries\timeseries.data.R
# init = 2 (Default)
# random
#   seed = 2911352597 (Default)
# output
#   file = examples\timeseries\timeseriesvar.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,log_p__,log_g__,alpha,beta,lambda
# Stepsize adaptation complete.
# eta = 1
0,-26.6321,-0.0920618,-1.55917,0.631011,0.465543
0,-27.8739,-0.714373,-1.60562,0.544356,0.486764
0,-26.7315,-0.216473,-1.62112,0.632775,0.482588
0,-29.5936,-1.9732,-1.72498,0.615252,0.492921
0,-29.3564,-2.32182,-1.45205,0.761777,0.454943
0,-26.8446,-1.73138,-1.62079,0.713812,0.436977
0,-27.4258,-2.90131,-1.39296,0.713112,0.496641
0,-26.2848,-1.50696,-1.48519,0.694152,0.507561
0,-28.009,-1.36395,-1.68248,0.706715,0.489949
0,-26.6475,-0.186814,-1.6044,0.644031,0.487321
0,-32.295,-5.07351,-1.32222,0.748374,0.468964
0,-29.46,-2.28208,-1.54872,0.614884,0.422645
0,-26.3649,-0.252344,-1.56224,0.66431,0.491741
0,-27.516,-0.433344,-1.50804,0.596862,0.467207
0,-27.4559,-2.50496,-1.49653,0.591854,0.526547
0,-28.3981,-1.31915,-1.43408,0.628581,0.471634
0,-26.9977,-0.180069,-1.55101,0.593113,0.469185
0,-32.6203,-3.00945,-1.47094,0.529598,0.43068
0,-27.2795,-0.65732,-1.56343,0.629419,0.446838
0,-26.9784,-0.799967,-1.48343,0.60116,0.491212
0,-33.4137,-3.85054,-1.46177,0.667076,0.414534
0,-27.0635,-4.06185,-1.47765,0.744956,0.534925
0,-27.2685,-0.531459,-1.49164,0.659382,0.46711
0,-26.7193,-0.467845,-1.60426,0.611166,0.454547
0,-27.6707,-2.31132,-1.61715,0.819771,0.472193
0,-27.027,-0.39232,-1.61504,0.641526,0.493819
0,-26.4304,-0.0324495,-1.5828,0.632912,0.470425
0,-27.0817,-1.72177,-1.55472,0.737345,0.512736
0,-26.2551,-0.553663,-1.52945,0.68964,0.493832
0,-27.2954,-1.6349,-1.59378,0.696681,0.433932
0,-27.1177,-2.29194,-1.44416,0.759824,0.491942
0,-26.5576,-2.82167,-1.69593,0.630711,0.429257
0,-27.5784,-1.15338,-1.48295,0.727469,0.46528
0,-27.1027,-0.285442,-1.57205,0.575243,0.483661
0,-26.9053,-0.599788,-1.48997,0.61041,0.486961
0,-26.5216,-0.0633136,-1.54386,0.64238,0.472267
0,-26.7835,-0.155258,-1.53698,0.604236,0.478965
0,-33.2533,-3.3357,-1.4508,0.485658,0.441774
