# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = cf_model
# start_datetime = 2023-07-05 10:27:40 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = examples\cf\cf.data.r
# init = 2 (Default)
# random
#   seed = 750877595 (Default)
# output
#   file = examples\cf\cf2k.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mean
# Adaptation terminated
# Step size = 0.0131195
# Diagonal elements of inverse mass matrix:
# 6.67965, 5.04437, 11.664
-251.294,0.973864,0.0131195,8,255,0,251.945,0.146758,-3.01692,2.20631,1.76355
-250.971,0.936042,0.0131195,7,159,0,252.808,-2.02783,-1.00821,-0.233568,1.81091
-250.904,0.995778,0.0131195,8,263,0,251.272,-0.225346,-0.542257,1.77714,1.89933
-250.892,0.998976,0.0131195,7,255,0,251.097,0.573933,0.0318923,1.8249,1.8432
-252.051,0.971316,0.0131195,6,63,0,258.547,-1.57793,1.95289,5.11797,2.03644
-252.546,0.994645,0.0131195,6,71,0,253.237,-1.75492,2.30524,6.11273,2.06721
-252.067,0.999641,0.0131195,3,7,0,252.678,-1.81775,2.3924,6.08365,1.73487
-251.765,0.993129,0.0131195,8,255,0,254.278,-4.19605,0.797141,5.15515,1.8103
-253.372,0.872464,0.0131195,8,255,0,254.029,-0.804448,-4.68158,-1.5805,2.18559
-251.655,1,0.0131195,2,3,0,253.113,-0.760991,-4.68311,-1.56777,1.99604
-251.433,0.858012,0.0131195,7,127,0,252.965,-2.42365,-1.7404,-2.48042,1.7377
-251.23,0.999927,0.0131195,8,287,0,251.619,1.69362,-0.822217,3.33655,1.94403
-251.087,0.999404,0.0131195,4,31,0,251.328,1.58351,-0.823896,3.19097,1.88632
-251.276,0.984366,0.0131195,8,255,0,252.12,2.94593,-0.025997,2.04348,1.96689
-251.103,0.99992,0.0131195,6,95,0,251.379,2.17513,-0.0882457,1.97921,1.78726
-251.122,0.990407,0.0131195,7,143,0,251.852,0.327239,-0.117519,1.7922,1.75374
-250.893,0.992138,0.0131195,6,95,0,252.807,0.772234,1.75586,0.522289,1.87823
-251.31,0.982838,0.0131195,7,191,0,252.846,1.09725,-0.995979,2.83583,1.74299
-251.964,0.979042,0.0131195,3,7,0,252.548,1.1159,-0.960906,2.71738,1.64511
-250.888,0.996485,0.0131195,7,135,0,253.233,-0.517594,-1.49354,1.07541,1.84846
-252.394,0.957727,0.0131195,3,7,0,252.575,-0.596198,-1.58027,1.19611,2.13826
-251.406,0.988932,0.0131195,6,95,0,254.758,-0.858557,-0.457067,1.63402,2.02644
-251.659,0.990204,0.0131195,6,111,0,253.253,-0.583356,0.0958399,1.7227,1.6668
-254.693,0.957019,0.0131195,3,7,0,255.62,-0.464809,0.0986014,1.4725,1.42666
-252.37,0.98668,0.0131195,3,15,0,256.73,-0.36842,-0.0456774,2.1186,2.13543
-251.682,0.988033,0.0131195,6,71,0,254.964,0.949721,0.60573,1.08644,1.66172
-252.688,0.97191,0.0131195,3,7,0,253.831,0.924108,0.569634,1.03543,1.56183
-252.023,0.999699,0.0131195,6,79,0,253.434,-0.456565,-0.822724,1.72728,2.10291
-251.102,0.988169,0.0131195,6,127,0,254.471,-2.8719,-1.05363,-1.22251,1.80339
-251.318,0.993216,0.0131195,8,255,0,251.517,-1.74407,-2.57963,-2.53808,1.96098
-251.38,0.989752,0.0131195,8,255,0,251.732,-2.96824,-0.49045,0.269583,1.72536
-250.911,0.944017,0.0131195,6,115,0,254.123,-1.30996,-1.68791,-0.326824,1.88428
-251.244,0.952427,0.0131195,1,3,0,251.875,-1.34424,-1.7061,-0.298774,1.99464
-251.83,0.975086,0.0131195,7,167,0,253.378,-0.565936,-1.49662,1.23418,2.08117
-251.814,0.967857,0.0131195,7,187,0,254.776,-0.103923,2.15638,2.28938,2.06529
-251.397,0.987536,0.0131195,8,255,0,252.955,-3.06782,0.106706,2.06671,1.73935
-251.701,0.996194,0.0131195,8,259,0,251.972,-1.05399,-3.44995,-1.9383,1.69792
-252.581,0.934953,0.0131195,3,7,0,252.87,-1.13209,-3.42821,-1.74732,2.13373
-252.536,0.91496,0.0131195,2,3,0,254.204,-1.14624,-3.39924,-1.76661,2.12973
-251.698,0.994986,0.0131195,8,279,0,253.487,-3.84737,0.901163,5.34631,1.8792
-251.741,0.999443,0.0131195,6,63,0,251.755,-3.98756,0.894516,5.44575,1.87881
-252.046,0.985642,0.0131195,8,255,0,252.679,-1.55709,3.03747,6.50577,1.77615
-251.86,0.962502,0.0131195,8,255,0,253.174,-3.44621,0.192466,2.34044,1.67716
-252.913,0.825791,0.0131195,3,7,0,255.464,-3.4357,0.114989,2.55429,2.15922
-251.142,0.963462,0.0131195,7,183,0,256.609,0.670162,-2.10219,3.30189,1.89308
-251.823,0.979475,0.0131195,7,131,0,252.856,1.28585,-3.02082,5.66048,1.77616
-253.685,0.908811,0.0131195,8,255,0,254.309,0.907538,-7.81458,8.98935,1.89732
-252.182,0.679788,0.0131195,9,511,0,255.3,2.84445,-1.97853,7.46188,1.83405
-254.044,0.882404,0.0131195,5,47,0,254.673,2.63765,-2.35956,7.79078,1.56709
-251.608,0.971709,0.0131195,8,255,0,255.496,-0.20362,-3.4207,1.33051,2.02703
-251.119,0.998748,0.0131195,5,35,0,251.748,-0.174773,-3.71757,1.20233,1.85206
-252.044,0.897529,0.0131195,8,511,0,254.976,3.84146,-1.21443,6.46961,1.80443
-251.429,0.966005,0.0131195,7,139,0,252.803,2.13198,-0.924876,3.93671,1.96489
-251.469,0.975314,0.0131195,7,227,0,253.676,1.61429,2.8227,-2.56637,1.99029
-251.508,0.922539,0.0131195,8,511,0,254.825,4.9332,-0.265568,3.15023,1.84013
-251.481,0.99601,0.0131195,9,1023,0,251.867,3.34059,-0.771534,4.48306,1.90569
-251.505,0.997642,0.0131195,8,255,0,251.685,2.7202,-1.17472,5.03465,1.83917
-251.423,0.995992,0.0131195,8,255,0,251.741,1.5843,-1.87581,4.79646,1.8246
-251.748,0.960993,0.0131195,7,187,0,253.485,1.99184,1.42369,-1.17004,1.66572
-251.629,0.999382,0.0131195,6,79,0,252.031,1.74395,1.59135,-1.09553,1.67971
-251.596,1,0.0131195,1,1,0,251.663,1.74566,1.59168,-1.09437,1.68416
-251.663,0.976682,0.0131195,6,119,0,253.524,1.7523,0.648262,0.924347,2.0603
-250.976,0.96448,0.0131195,6,95,0,254.842,-0.0569894,2.08693,1.98107,1.86213
-252.604,0.958803,0.0131195,8,255,0,253.283,2.48275,2.32718,-3.65883,2.119
-251.211,0.996212,0.0131195,7,155,0,253.952,2.60566,0.837445,-0.205509,1.97659
-251.941,0.971853,0.0131195,8,267,0,253.74,2.96392,-1.17241,5.20039,1.72546
-251.159,0.992091,0.0131195,8,271,0,252.583,-4.0751,-0.567199,-0.427765,1.88363
-251.694,0.87673,0.0131195,3,7,0,252.549,-4.0239,-0.518629,-0.388436,1.69847
-253.662,0.849552,0.0131195,3,7,0,254.166,-3.92555,-0.614036,-0.189797,2.22063
-251.143,0.923547,0.0131195,2,3,0,254.886,-3.8949,-0.542122,-0.212706,1.89881
-250.969,0.996148,0.0131195,7,191,0,251.779,-2.47501,-0.637392,0.323209,1.90076
-250.931,0.976392,0.0131195,4,31,0,251.732,-2.33004,-0.736991,0.153912,1.87113
-250.995,0.996986,0.0131195,3,15,0,251.018,-2.33442,-0.745656,0.180646,1.92132
-251.271,0.994029,0.0131195,7,207,0,252.539,0.802264,-1.51584,2.97446,1.75835
-252.849,0.947667,0.0131195,9,511,0,254.354,6.34986,0.249135,0.530202,2.11218
-253.548,0.961611,0.0131195,8,255,0,254.447,5.83924,-0.417238,4.00669,1.57034
-253.112,0.999585,0.0131195,9,767,0,254.277,-2.80806,-2.98032,-6.26118,2.10775
-251.851,0.999521,0.0131195,4,23,0,253.183,-2.61928,-2.96209,-5.92975,1.82878
-253.388,0.970545,0.0131195,7,255,0,254.437,-4.93544,-2.34175,-9.75543,1.80216
-254.436,0.893264,0.0131195,4,27,0,254.738,-5.05094,-2.34823,-10.2107,1.65001
-253.156,0.919122,0.0131195,5,51,0,255.728,-4.75401,-2.37678,-9.43627,1.86299
-253.695,0.903506,0.0131195,8,255,0,254.709,-7.72673,-1.40972,-9.05285,1.83964
-252.699,0.984162,0.0131195,8,255,0,254.169,-5.11877,-1.91974,-7.91895,1.90775
-251.304,0.999624,0.0131195,9,511,0,253.082,-4.36649,-0.924194,-2.15918,1.87631
-253.839,0.884349,0.0131195,8,511,0,254.556,-7.87977,-0.377773,-0.814572,2.1622
-252.316,0.67614,0.0131195,8,255,0,255.216,0.252512,-7.18802,3.77617,1.96111
-251.278,0.943157,0.0131195,7,171,0,254.522,1.09577,-2.12089,4.19724,1.87324
-251.877,0.994313,0.0131195,8,383,0,253.158,-0.668123,-6.65748,-2.62469,1.82332
-251.191,0.861626,0.0131195,8,255,0,252.697,-0.0202553,-3.87985,1.8128,1.89139
-252.03,0.927625,0.0131195,8,511,0,252.824,4.63768,-0.112507,2.56766,2.04589
-252.746,0.967629,0.0131195,8,255,0,254.794,2.2426,4.56287,-8.39142,1.84128
-253.033,0.846017,0.0131195,7,162,1,255.244,1.90106,5.5384,-8.69873,1.83008
-253.366,0.717693,0.0131195,8,255,0,255.65,0.481845,7.70898,-1.59385,2.12068
-252.438,0.951585,0.0131195,8,255,0,254.74,-8.90909,-0.0824091,1.10212,1.83631
-251.201,0.604837,0.0131195,8,255,0,253.642,-3.13534,0.381484,3.07285,1.87677
-251.375,0.904014,0.0131195,4,31,0,253.869,-3.36347,0.360068,3.15834,1.94726
-251.433,0.998419,0.0131195,3,15,0,251.483,-3.35275,0.357737,3.16283,1.96343
