# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = cf10_model
# start_datetime = 2023-07-05 12:39:13 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = examples\cf\cf10.data.r
# init = 2 (Default)
# random
#   seed = 758770126 (Default)
# output
#   file = examples\cf\cf10_1k.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mean
# Adaptation terminated
# Step size = 0.00115335
# Diagonal elements of inverse mass matrix:
# 26.9334, 21.0976, 23.3178, 19.5507, 27.7658, 16.8963, 26.1204, 25.9459, 28.472, 22.7872, 31.3942, 33.4077, 28.4282, 24.8712, 31.0135, 31.6516, 35.3865, 36.2015, 26.031, 27.042, 27.6938
-14821.7,0.949044,0.00115335,10,1023,0,14830.1,-3.98937,-4.08633,0.0325536,-3.68339,7.52328,-1.14688,3.0796,-2.50966,-5.84688,-1.08358,4.3023,13.0406,-2.63008,-3.14403,-5.06826,1.47544,7.22358,-1.0708,-6.87064,-4.9828,4.10281,149.763
-14820.8,0.992398,0.00115335,10,1023,0,14829.7,-1.75254,-5.94595,3.0988,-2.88865,9.23174,-3.61338,1.03426,-2.51136,-4.12446,-0.421811,5.62798,10.0031,-3.06697,-3.70833,-1.61778,0.610289,6.58921,3.33395,-8.52585,-4.26649,1.2057,149.784
-14821.9,0.976968,0.00115335,10,1023,0,14828.1,0.100539,-5.33455,-1.80905,-1.74764,3.77398,-2.25258,3.05468,-6.1918,-3.7539,-2.12586,12.1688,3.15553,-3.33882,-5.38969,-0.861947,1.49563,9.15828,4.68878,-3.3015,-9.69186,-1.90601,149.727
-14823.8,0.742273,0.00115335,10,1023,0,14831.4,3.17508,-4.68811,0.850162,-0.696298,3.07325,-2.25586,5.76892,-5.93338,-2.99229,-3.23629,9.21197,2.35762,-2.58277,-9.07436,1.86084,4.83897,9.45934,7.19145,-4.76491,-11.046,0.105035,149.687
-14823.3,0.954152,0.00115335,10,1023,0,14833.6,0.506647,-1.19166,3.34141,3.46185,3.4508,-2.59373,1.68787,1.60262,-5.03465,-3.75739,10.5275,4.06669,-3.21966,-12.2886,3.14416,8.02913,7.99688,-4.87618,-2.03984,-6.25347,1.77791,149.609
-14822.3,0.999711,0.00115335,10,1023,0,14835,-0.908684,0.118276,6.01259,3.8469,-0.482449,-3.24682,2.23127,3.91382,1.1305,0.377229,11.0315,2.20312,2.69832,-6.71241,5.74137,12.2042,-3.24678,-2.22713,-2.22438,-6.34242,-5.75487,149.896
-14829.2,0.99986,0.00115335,10,1023,0,14840.2,-9.97228,2.55686,2.87486,7.31463,-4.71737,0.69456,6.72956,9.08406,-1.78147,-2.20018,2.41705,0.070261,-0.593136,-0.878976,8.86968,11.4193,-7.86724,2.42806,-8.10125,-2.95891,-14.4589,149.863
-14827.4,0.974299,0.00115335,10,1023,0,14841.5,-8.33649,2.32884,5.86981,7.27512,-6.62619,-2.28142,6.93913,8.8853,-0.274813,-1.33681,-0.887946,0.853681,-0.981199,-1.19549,10.1719,8.49008,-9.25579,3.41636,-3.40395,-2.40383,-13.2859,149.723
-14827.5,0.966963,0.00115335,10,1023,0,14838.9,-5.85752,0.624014,10.5739,4.87905,-5.287,1.71878,8.26665,9.08202,-3.15391,-0.506511,-4.86678,1.16373,-0.990043,-0.0934686,9.17655,7.37773,-15.3366,1.97476,-5.14946,-2.45009,-4.57147,149.75
-14821.2,0.951753,0.00115335,10,1023,0,14839.1,-9.92288,-7.05287,5.72965,5.21123,-6.34276,1.76804,6.82014,3.61267,1.50296,6.64424,-2.76796,-1.10713,-0.0652971,3.88873,-0.188085,0.19137,-1.66049,-9.14383,-2.5554,-3.35117,-3.16989,149.67
-14822.8,0.975305,0.00115335,10,1023,0,14832.9,-10.7957,-6.57806,5.56786,7.15088,-8.52457,3.14315,7.07294,4.3636,1.73961,6.26419,-4.07903,-2.94267,-0.751736,4.37823,-1.56208,0.586178,-0.347051,-8.00429,-2.34987,-2.51714,-4.48513,149.804
-14824.4,0.997239,0.00115335,10,1023,0,14831.2,-12.4822,-9.08377,5.08189,8.57768,-6.84946,4.0025,6.8957,-0.83202,3.30809,3.87811,-5.74069,-3.38958,-3.31762,4.23169,-5.29086,2.22733,2.32711,-2.5301,-1.40756,-7.2225,-4.27955,149.745
-14823.9,0.987296,0.00115335,10,1023,0,14834.7,-7.63887,-7.2698,0.836961,1.82962,-1.56551,9.51867,4.31151,-3.47296,0.37545,3.82691,-8.62789,-2.14486,6.79052,-4.02101,-2.99243,-5.63684,-0.683236,-0.326443,-8.50841,-11.2534,-1.42046,149.751
