ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
-inf	32.87	9.5	29.93	22.09	-inf	0	0	76	10	74	51	13	9	11	9	0	0	9.848588943481445	200	9.848588943481445	191	4.5	
-inf	32.575	9.507246376811594	19.840579710144926	14.985507246376812	-20.56420445973442	1	131	99	12.0	68.0	48.0	4	9.0	11.0	9.0	0	0	0.26361799240112305	400	10.112206935882568	240	40.0	
-inf	26.83	9.770833333333334	22.552083333333332	16.739583333333332	-20.56420445973442	2	235	110	12.0	73.0	51.0	3	9.0	11.0	9.0	0	0	0.07780599594116211	600	10.19001293182373	302	49.66666666666667	
-inf	27.4	9.88888888888889	24.383838383838384	17.98989898989899	-20.56420445973442	3	336	85	13.0	68.0	48.0	2	9.0	11.0	9.0	0	0	0.07520103454589844	800	10.265213966369629	365	54.375	
-inf	31.68	9.98076923076923	26.25	19.21153846153846	-20.376220540884933	4	432	94	14.0	68.0	48.0	4	9.0	11.0	9.0	0	0	0.07065200805664062	1000	10.33586597442627	436	56.4	
-inf	36.49	10.034188034188034	30.692307692307693	22.256410256410255	-19.23381100059386	5	515	87	14.0	105.0	76.0	5	9.0	11.0	9.0	0	0	0.1421799659729004	1200	10.47804594039917	495	58.75	
-inf	41.01	9.991525423728813	28.949152542372882	21.10169491525424	-19.23381100059386	6	597	101	13.0	70.0	49.0	3	9.0	11.0	9.0	0	0	0.05932497978210449	1400	10.537370920181274	559	60.07142857142857	
-inf	43.04	10.308333333333334	31.516666666666666	22.825	-19.23381100059386	7	677	103	14.0	88.0	64.0	4	9.0	11.0	9.0	0	0	0.07282304763793945	1600	10.610193967819214	635	60.3125	
-inf	46.505	9.9765625	26.90625	19.5546875	-14.662841945087019	8	749	109	13.0	68.0	48.0	3	9.0	11.0	9.0	0	0	0.058682918548583984	1800	10.668876886367798	712	60.44444444444444	
-inf	49.75	10.252032520325203	33.3739837398374	24.024390243902438	-14.662841945087019	9	826	97	14.0	113.0	78.0	6	9.0	11.0	9.0	0	0	0.07821297645568848	2000	10.747089862823486	790	60.5	
-inf	55.14	10.186046511627907	33.63565891472868	24.25581395348837	-14.662841945087019	10	897	113	15.0	119.0	83.0	8	9.0	11.0	9.0	0	0	0.13817405700683594	2200	10.885263919830322	863	60.77272727272727	
-inf	61.37	10.564102564102564	39.85470085470085	28.564102564102566	-11.430798678015737	11	980	136	15.0	119.0	83.0	8	9.0	11.0	9.0	0	0	0.09378600120544434	2400	10.979049921035767	935	61.041666666666664	
-inf	61.55	10.596638655462185	41.3109243697479	29.605042016806724	-11.430798678015737	12	1061	196	15.0	143.0	103.0	4	9.0	11.0	9.0	0	0	0.1112070083618164	2600	11.090256929397583	1004	61.38461538461538	
-inf	68.885	10.89	47.24	33.64	-9.97189614752066	13	1161	174	16.0	143.0	103.0	8	9.0	11.0	9.0	0	0	0.245103120803833	2800	11.335360050201416	1069	61.82142857142857	
-inf	68.535	10.98165137614679	48.55045871559633	34.61467889908257	-9.97189614752066	14	1252	152	17.0	143.0	103.0	4	9.0	11.0	9.0	0	0	0.18198776245117188	3000	11.517347812652588	1132	62.266666666666666	
-inf	76.695	10.91304347826087	46.22608695652174	33.13913043478261	-9.97189614752066	15	1337	171	15.0	143.0	103.0	6	9.0	11.0	9.0	0	0	0.12676715850830078	3200	11.644114971160889	1202	62.4375	
-inf	82.135	11.094488188976378	51.98425196850393	37.110236220472444	-9.56154500173442	16	1410	168	15.0	145.0	104.0	10	9.0	11.0	9.0	0	0	0.2031691074371338	3400	11.847284078598022	1274	62.529411764705884	
-inf	88.39	11.198347107438016	50.892561983471076	36.074380165289256	-8.426743172095694	17	1489	211	16.0	151.0	107.0	9	9.0	11.0	9.0	0	0	1.5095798969268799	3600	13.356863975524902	1353	62.416666666666664	
-inf	92.365	10.991666666666667	46.625	33.125	-8.426743172095694	18	1569	230	16.0	149.0	106.0	9	9.0	11.0	9.0	0	0	0.4393181800842285	3800	13.79618215560913	1427	62.44736842105263	
-inf	97.175	11.0	46.296	32.736	-7.730604663586705	19	1644	185	21.0	159.0	106.0	12	9.0	11.0	9.0	0	0	0.8380270004272461	4000	14.634209156036377	1514	62.15	
-inf	97.69	11.5625	56.1484375	39.375	-7.730604663586705	20	1716	217	21.0	159.0	109.0	21	9.0	11.0	9.0	0	0	0.20849180221557617	4200	14.842700958251953	1596	62.0	
-inf	99.325	11.894736842105264	61.25438596491228	42.824561403508774	-7.078821256381749	21	1802	325	21.0	159.0	106.0	13	9.0	11.0	9.0	0	0	0.19919705390930176	4400	15.041898012161255	1680	61.81818181818181	
-inf	103.555	12.207692307692307	70.83076923076923	49.34615384615385	-7.070542936609306	22	1872	206	21.0	159.0	106.0	21	9.0	11.0	9.0	0	0	0.9603888988494873	4600	16.002286911010742	1763	61.673913043478265	
-inf	111.665	12.085714285714285	74.23809523809524	52.095238095238095	-7.070542936609306	23	1967	239	17.0	145.0	98.0	15	9.0	11.0	9.0	0	0	0.2223820686340332	4800	16.224668979644775	1832	61.833333333333336	
-inf	115.05	12.516483516483516	77.32967032967034	54.010989010989015	-7.070542936609306	24	2076	217	19.0	190.0	133.0	29	9.0	11.0	9.0	0	0	0.577521800994873	5000	16.80219078063965	1893	62.14	
-inf	118.22	12.965909090909092	87.81818181818181	61.19318181818182	-7.070542936609306	25	2188	217	20.0	183.0	129.0	24	9.0	11.0	9.0	0	0	0.5174391269683838	5200	17.319629907608032	1944	62.61538461538462	
-inf	124.845	12.864583333333334	87.52083333333333	61.020833333333336	-6.564214564233916	26	2292	237	19.0	191.0	135.0	26	9.0	11.0	9.0	0	0	0.4955759048461914	5400	17.815205812454224	2007	62.833333333333336	
-inf	130.055	13.03370786516854	88.92134831460675	61.86516853932584	-6.547898995306275	27	2403	261	19.0	183.0	124.0	28	9.0	13.0	10.0	0	0	0.2021641731262207	5600	18.017369985580444	2060	63.21428571428571	
-inf	129.635	12.46808510638298	78.53191489361703	54.829787234042556	-6.547898995306275	28	2509	257	21.0	227.0	152.0	20	9.0	11.0	9.0	0	0	0.21407604217529297	5800	18.231446027755737	2115	63.53448275862069	
-inf	132.615	12.022222222222222	68.91111111111111	48.266666666666666	-6.378437833122407	29	2619	279	20.0	255.0	172.0	21	9.0	11.0	9.0	0	0	0.3551168441772461	6000	18.586562871932983	2172	63.800000000000004	
-inf	128.635	11.976190476190476	69.30952380952381	48.79761904761905	-6.378437833122407	30	2735	329	19.0	197.0	133.0	16	9.0	11.0	9.0	0	0	0.5542631149291992	6200	19.140825986862183	2221	64.17741935483872	
-inf	128.175	12.0	68.16504854368932	47.81553398058252	-6.2538851521533525	31	2832	316	19.0	214.0	145.0	18	9.0	11.0	9.0	0	0	0.7947471141815186	6400	19.9355731010437	2291	64.203125	
-inf	134.055	12.017699115044248	64.80530973451327	45.389380530973455	-6.2538851521533525	32	2919	453	19.0	214.0	145.0	43	9.0	13.0	10.0	0	0	0.2970108985900879	6600	20.23258399963379	2365	64.16666666666666	
-inf	123.315	11.754237288135593	57.63559322033898	40.53389830508475	-6.2538851521533525	33	3001	410	16.0	139.0	96.0	16	9.0	11.0	9.0	0	0	0.16916775703430176	6800	20.40175175666809	2434	64.20588235294117	
-inf	113.035	11.88888888888889	62.34188034188034	43.794871794871796	-6.2538851521533525	34	3084	258	17.0	161.0	110.0	33	9.0	11.0	9.0	0	0	0.3501319885253906	7000	20.75188374519348	2510	64.14285714285714	
-inf	108.455	11.756302521008404	62.61344537815126	44.10084033613445	-6.194088910336642	35	3165	283	19.0	290.0	204.0	10	9.0	11.0	9.0	0	0	0.38535118103027344	7200	21.137234926223755	2586	64.08333333333333	
-inf	97.76	11.868131868131869	65.3956043956044	45.92307692307692	-6.194088910336642	36	3274	233	16.0	150.0	104.0	10	9.0	11.0	9.0	0	0	0.30769896507263184	7400	21.444933891296387	2643	64.28378378378378	
-inf	96.81	11.870967741935484	64.26881720430107	45.13978494623656	-6.194088910336642	37	3381	239	17.0	169.0	117.0	15	9.0	11.0	9.0	0	0	0.16014313697814941	7600	21.605077028274536	2700	64.47368421052632	
-inf	93.87	11.906542056074766	67.37383177570094	47.4392523364486	-6.166151789859607	38	3474	217	17.0	169.0	117.0	22	9.0	11.0	9.0	0	0	0.2271277904510498	7800	21.832204818725586	2765	64.55128205128204	
-inf	91.71	11.840425531914894	67.17021276595744	47.361702127659576	-6.166151789859607	39	3580	190	15.0	152.0	104.0	23	9.0	17.0	13.0	0	0	0.19321608543395996	8000	22.025420904159546	2820	64.75	
-inf	94.07	11.863013698630137	66.64383561643835	46.93150684931507	-6.166151789859607	40	3707	183	16.0	154.0	107.0	17	9.0	15.0	12.0	0	0	0.1889488697052002	8200	22.214369773864746	2870	65.0	
-inf	94.75	12.366666666666667	68.45555555555555	47.81111111111111	-6.145829813645969	41	3817	246	17.0	159.0	112.0	12	9.0	16.0	12.0	0	0	0.44055819511413574	8400	22.654927968978882	2933	65.08333333333333	
-inf	89.83	11.845360824742269	61.34020618556701	42.97938144329897	-6.099202717834178	42	3920	257	18.0	207.0	140.0	14	9.0	11.0	9.0	0	0	0.1408228874206543	8600	22.795750856399536	2998	65.13953488372093	
-inf	87.015	11.526315789473685	50.921052631578945	35.73684210526316	-6.016412113807198	43	4006	220	18.0	126.0	86.0	20	9.0	11.0	9.0	0	0	0.1301121711730957	8800	22.925863027572632	3076	65.04545454545455	
-inf	87.46	11.661016949152541	51.09322033898305	35.82203389830509	-6.016412113807198	44	4088	185	17.0	126.0	86.0	9	9.0	11.0	9.0	0	0	0.10857892036437988	9000	23.03444194793701	3152	64.97777777777779	
-inf	90.755	11.471544715447154	48.886178861788615	34.27642276422764	-6.016412113807198	45	4165	198	16.0	140.0	95.0	12	9.0	11.0	9.0	0	0	0.14309406280517578	9200	23.177536010742188	3231	64.88043478260869	
-inf	91.675	11.983870967741936	60.36290322580645	42.064516129032256	-5.9231073260365	46	4241	243	19.0	210.0	146.0	14	9.0	11.0	9.0	0	0	0.296367883682251	9400	23.47390389442444	3318	64.70212765957447	
-inf	89.965	11.846153846153847	59.837606837606835	41.717948717948715	-5.9231073260365	47	4324	274	18.0	205.0	140.0	10	9.0	11.0	9.0	0	0	0.20988106727600098	9600	23.68378496170044	3397	64.61458333333333	
-inf	88.31	11.661538461538461	57.03076923076923	39.94615384615385	-5.9231073260365	48	4394	253	18.0	205.0	140.0	8	9.0	11.0	9.0	0	0	0.17174601554870605	9800	23.855530977249146	3470	64.59183673469389	
-inf	90.04	11.704918032786885	58.33606557377049	40.89344262295082	-5.9231073260365	49	4472	190	19.0	172.0	117.0	17	9.0	11.0	9.0	0	0	0.1644911766052246	10000	24.02002215385437	3553	64.47	
