# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = trueskills_model
# start_datetime = 2023-01-12 09:11:41 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       iter = 50 (Default)
#     tol_rel_obj = 0.01 (Default)
#     eval_elbo = 100 (Default)
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 2892587329 (Default)
# output
#   file = examples\trueskills\trueskillsvar.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,log_p__,log_g__,skillA,skillB,skillC,perfA,perfB,perfC
# Stepsize adaptation complete.
# eta = 1
0,-38.6193,-3.36579,77.523,83.5116,64.2856,39.9784,29.4986,36.9122
0,-44.9662,-3.12496,67.523,74.0538,54.8923,37.2247,26.5097,36.3667
0,-42.6697,-2.34469,74.8127,62.1322,64.892,40.2621,10.0699,35.3941
0,-43.358,-3.24408,48.7422,71.3129,72.7259,46.2004,41.1453,44.8479
0,-38.4778,-4.65797,72.6136,65.5979,53.0922,59.5354,55.1464,25.9918
0,-36.1219,-1.28761,73.617,75.2639,67.1086,43.6344,40.2914,35.9034
0,-39.02,-6.4071,80.994,61.8908,53.8297,59.9032,59.1454,38.1889
0,-45.5221,-4.65836,85.7664,51.0569,60.8868,40.8631,39.1248,25.051
0,-44.2847,-0.990148,68.7151,66.7798,56.4763,34.9493,29.7521,29.5313
0,-46.6567,-4.94468,50.5082,56.2796,72.1033,52.8568,52.1318,36.2837
0,-54.5422,-4.42446,52.203,48.5733,56.1318,38.2241,21.6543,36.8231
0,-46.1673,-1.55326,67.4435,50.8549,61.6033,39.819,30.9448,37.5928
0,-44.2329,-3.77166,52.7991,80.3036,61.0113,43.119,36.4334,21.2948
0,-33.0214,-1.98238,76.895,64.2301,70.4644,55.855,50.1707,51.7259
0,-36.9322,-4.29543,60.7268,64.6561,75.3611,63.0049,60.7106,61.7406
0,-54.9878,-7.17129,49.6254,43.4251,55.4522,51.7598,20.4514,35.7682
0,-48.1141,-4.45839,48.516,65.654,53.3268,51.2842,44.0821,25.7661
0,-54.1693,-10.6747,54.7086,63.2665,73.0999,64.7679,20.1311,-13.864
0,-41.6271,-3.88295,56.7564,63.8476,65.0533,58.5798,58.0114,51.3884
0,-36.0416,-3.48545,71.1411,86.0899,59.722,48.8071,45.5043,36.9941
0,-44.3284,-3.67148,72.6677,53.793,69.8858,37.5909,25.4573,36.9209
0,-42.3199,-1.00644,58.6762,63.5157,63.4442,48.0322,46.6442,43.2588
0,-46.1535,-1.44903,55.2738,65.0991,56.1466,42.4256,31.6239,39.0019
0,-40.1093,-2.67649,71.7113,62.0966,55.0429,53.6379,29.816,48.1469
0,-45.4971,-1.19607,62.1221,63.0529,57.186,37.0078,32.141,24.5478
0,-32.3955,-4.74159,78.1865,67.036,85.9642,50.6846,38.1735,46.7489
0,-39.1643,-0.78954,58.0088,66.9458,66.8543,50.6416,46.0265,44.2873
0,-41.6615,-2.52093,65.9549,76.7594,54.8558,42.6258,39.2083,22.5909
0,-43.2404,-5.49704,78.3671,75.419,40.7275,51.9985,46.1201,44.9463
0,-55.9407,-5.46449,67.6309,39.349,47.8246,39.5678,30.4526,29.4664
0,-38.2921,-3.17694,62.62,62.2697,66.9721,60.0305,58.8346,46.5282
0,-43.7169,-1.87795,63.841,58.4514,63.8485,41.796,18.8087,30.7824
0,-36.5754,-1.55573,66.7036,69.2529,71.2022,49.826,47.33,48.443
