ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
-inf	87.17	9.5	78.53	58.275	-inf	0	0	148	10	136	99	51	9	43	34	0	0	120.87754821777344	200	120.87754821777344	200	0.0	
-inf	86.655	10.424242424242424	70.12121212121212	52.18181818181818	-inf	1	167	177	16.0	146.0	104.0	14	9.0	35.0	28.0	0	0	1.1096928119659424	400	121.98724102973938	223	44.25	
-inf	85.335	11.04	76.88	56.82	-inf	2	317	207	16.0	146.0	104.0	11	9.0	40.0	32.0	0	0	1.0948340892791748	600	123.08207511901855	257	57.166666666666664	
-inf	88.695	11.192982456140351	80.24561403508773	59.08771929824562	-inf	3	460	205	19.0	208.0	147.0	3	9.0	46.0	36.0	0	0	1.2900111675262451	800	124.3720862865448	292	63.5	
-inf	91.13	11.354166666666666	83.625	61.5625	-inf	4	612	231	17.0	188.0	135.0	4	9.0	45.0	35.0	0	0	1.2904422283172607	1000	125.66252851486206	327	67.3	
-inf	96.915	11.864406779661017	85.01694915254237	62.69491525423729	-inf	5	753	193	17.0	184.0	129.0	27	9.0	45.0	35.0	0	0	2.080718755722046	1200	127.7432472705841	365	69.58333333333334	
-inf	97.85	11.483870967741936	84.33870967741936	62.46774193548387	-inf	6	891	246	19.0	215.0	156.0	13	9.0	35.0	28.0	0	0	1.7584660053253174	1400	129.50171327590942	402	71.28571428571428	
-inf	104.55	11.647887323943662	83.98591549295774	62.0	-inf	7	1020	272	21.0	202.0	141.0	22	9.0	35.0	28.0	0	0	1.6249568462371826	1600	131.1266701221466	444	72.25	
-inf	99.535	11.164383561643836	76.98630136986301	57.342465753424655	-inf	8	1147	325	18.0	174.0	124.0	24	9.0	35.0	28.0	0	0	1.9262588024139404	1800	133.05292892456055	487	72.94444444444444	
-inf	99.855	11.253731343283581	76.17910447761194	56.76119402985075	-inf	9	1280	234	18.0	166.0	121.0	12	9.0	35.0	28.0	0	0	1.2010090351104736	2000	134.25393795967102	519	74.05	
-inf	100.57	11.516666666666667	82.46666666666667	60.96666666666667	-inf	10	1420	268	21.0	205.0	144.0	5	9.0	33.0	27.0	0	0	1.6887028217315674	2200	135.9426407814026	559	74.5909090909091	
-inf	107.13	11.522388059701493	87.25373134328358	64.08955223880596	-inf	11	1553	269	17.0	174.0	125.0	5	9.0	40.0	32.0	0	0	1.7214622497558594	2400	137.66410303115845	598	75.08333333333333	
-inf	114.225	11.848484848484848	89.45454545454545	65.77272727272727	-inf	12	1687	295	19.0	194.0	143.0	23	9.0	39.0	31.0	0	0	2.1365442276000977	2600	139.80064725875854	643	75.26923076923077	
-inf	118.64	11.582089552238806	85.13432835820896	62.56716417910448	-inf	13	1820	375	19.0	206.0	149.0	14	9.0	45.0	35.0	0	0	1.9097225666046143	2800	141.71036982536316	686	75.5	
-inf	127.97	11.469135802469136	86.53086419753086	63.76543209876543	-inf	14	1939	384	18.0	206.0	149.0	11	9.0	35.0	28.0	0	0	1.81333589553833	3000	143.5237057209015	736	75.46666666666667	
-inf	130.265	11.869047619047619	89.20238095238095	65.51190476190476	-inf	15	2055	456	17.0	293.0	206.0	19	9.0	39.0	31.0	0	0	2.3894991874694824	3200	145.91320490837097	789	75.34375	
-inf	135.46	11.802469135802468	87.85185185185185	64.67901234567901	-inf	16	2174	402	19.0	221.0	158.0	11	9.0	33.0	27.0	0	0	2.0252761840820312	3400	147.938481092453	840	75.29411764705883	
-inf	136.445	11.560975609756097	84.65853658536585	62.58536585365854	-inf	17	2292	429	21.0	202.0	145.0	30	9.0	33.0	27.0	0	0	1.8391573429107666	3600	149.77763843536377	891	75.25	
-inf	142.43	11.494252873563218	82.27586206896552	60.89655172413793	-inf	18	2405	473	18.0	202.0	145.0	33	9.0	35.0	28.0	0	0	2.5900588035583496	3800	152.36769723892212	955	74.86842105263158	
-inf	124.47	11.58108108108108	85.08108108108108	62.86486486486486	-inf	19	2531	473	18.0	167.0	120.0	11	9.0	35.0	28.0	0	0	1.2135746479034424	4000	153.58127188682556	1001	74.975	
-inf	138.44	11.533333333333333	84.68888888888888	62.422222222222224	-inf	20	2641	447	20.0	201.0	144.0	20	9.0	37.0	30.0	0	0	2.372467517852783	4200	155.95373940467834	1062	74.71428571428572	
-inf	134.18	12.125	93.77272727272727	68.81818181818181	-inf	21	2753	468	19.0	220.0	163.0	16	9.0	37.0	30.0	0	0	1.9945359230041504	4400	157.9482753276825	1115	74.6590909090909	
-inf	149.26	12.225	101.7375	74.2625	-inf	22	2873	460	19.0	397.0	282.0	13	9.0	39.0	31.0	0	0	4.9740777015686035	4600	162.9223530292511	1170	74.56521739130434	
-inf	147.07	12.227272727272727	101.92045454545455	74.22727272727273	-inf	23	2985	460	20.0	397.0	282.0	7	9.0	40.0	32.0	0	0	2.3384127616882324	4800	165.26076579093933	1227	74.4375	
