median	q1	q3
-72.67968130935662	-113.56201994830177	-29.403692380884948
-51.767404723870136	-85.71850643437067	-26.664630707012073
-50.81085330305129	-85.71850643437067	-26.664630707012073
-38.582103475084594	-83.40582295357063	-20.83666573810166
-31.35106794157919	-83.40582295357063	-19.50692182530746
-31.35106794157919	-83.40582295357063	-19.50692182530746
-28.385294681538358	-69.14986939739188	-16.081494049334935
-28.385294681538358	-69.14986939739188	-14.464211314597428
-28.385294681538358	-69.14986939739188	-14.24781330307039
-28.385294681538358	-69.14986939739188	-13.292411775026734
-28.35798923797614	-63.942619928169	-11.794149524869857
-27.503492669262673	-63.942619928169	-9.769808697090811
-23.057316085319606	-61.77351292437649	-9.644095281634451
-19.648536439319944	-61.77351292437649	-9.35014520650983
-19.648536439319944	-61.77351292437649	-8.7537399610889
-15.266068177244055	-61.77351292437649	-8.265367431178532
-10.80634379652231	-51.84991402930542	-7.947158611024061
-10.458607601222326	-51.84991402930542	-7.809384068035264
-10.458607601222326	-51.84991402930542	-7.636125268656434
-10.24242517994972	-24.846765289257817	-7.636125268656434
-8.690091083173664	-23.423962051356295	-7.526814100399268
-8.49082510798294	-23.423962051356295	-7.526814100399268
-8.49082510798294	-19.224380190482503	-7.445318697685934
-8.130126383734002	-19.224380190482503	-7.309803657222341
-7.778268751113602	-15.131303413029489	-7.241045154987246
-7.778268751113602	-13.371307571883865	-7.0577426532932686
-7.609729726372732	-11.7814397002964	-7.050215656953819
-7.569480793569032	-11.03573288230923	-7.050215656953819
-7.5589293671279325	-9.44760776345398	-6.986848676991436
-7.44767926206044	-9.428215047975787	-6.943868428383591
-7.444327006524036	-8.815853160361113	-6.867504783734704
-7.343382811666766	-8.525943648255398	-6.844949499416931
-7.343382811666766	-7.925719182489983	-6.844949499416931
-7.2615685385606294	-7.925719182489983	-6.783728088084363
-7.090602475054134	-7.925719182489983	-6.783728088084363
-7.07068116412159	-7.862409637379847	-6.744081115834846
-7.07068116412159	-7.862409637379847	-6.709537277833805
-7.07068116412159	-7.847122448911787	-6.709537277833805
-7.0392799990246395	-7.58077046660624	-6.69108251401491
-7.015640839844231	-7.569388381035727	-6.69108251401491
-7.006216755926612	-7.569388381035727	-6.69108251401491
-6.9744612363172696	-7.4442013387792745	-6.646845857582918
-6.96415843952345	-7.2785858939438235	-6.646845857582918
-6.929643944073515	-7.188517432452381	-6.626486713188647
-6.929643944073515	-7.122394418149979	-6.626486713188647
-6.900916262477045	-7.122394418149979	-6.626486713188647
-6.726713260298002	-7.053381056944637	-6.564945734116677
-6.7242532162547555	-7.049684619761359	-6.501909782021559
-6.7105583160782105	-6.993003002989412	-6.501909782021559
-6.7105583160782105	-6.943845016720504	-6.495899446160941
-6.691479004364578	-6.930251377020962	-6.487928505175623
-6.691479004364578	-6.928737481955568	-6.487084875706154
-6.664974088446126	-6.928737481955568	-6.479869106462723
-6.6344442296147275	-6.902177532668506	-6.476605950868019
-6.6344442296147275	-6.8703009839726334	-6.474177723961741
-6.617941264870274	-6.8703009839726334	-6.472568010220913
-6.606895465170272	-6.8703009839726334	-6.442624060184644
-6.593969348631795	-6.8703009839726334	-6.43512994477166
-6.593969348631795	-6.8703009839726334	-6.43512994477166
-6.581828258314692	-6.8703009839726334	-6.413715439350124
-6.581828258314692	-6.8703009839726334	-6.413715439350124
-6.581828258314692	-6.791711398586283	-6.401525760149955
-6.546441861242533	-6.786886635356877	-6.401525760149955
-6.535306414470201	-6.786886635356877	-6.375411646850509
-6.511829693108747	-6.786886635356877	-6.375411646850509
-6.50881466542949	-6.786886635356877	-6.3740140781496155
-6.481923555352858	-6.786886635356877	-6.3740140781496155
-6.48088064780787	-6.786886635356877	-6.3740140781496155
-6.461582825247039	-6.786886635356877	-6.3740140781496155
-6.441844063976713	-6.786886635356877	-6.37359075076658
-6.441844063976713	-6.786886635356877	-6.347709013017974
-6.441844063976713	-6.74060517255126	-6.347709013017974
-6.441844063976713	-6.74060517255126	-6.347709013017974
-6.439089247617504	-6.712679423578977	-6.347709013017974
-6.439089247617504	-6.712679423578977	-6.336405620176298
-6.4278201819852185	-6.712679423578977	-6.334636539007352
-6.4278201819852185	-6.712679423578977	-6.334636539007352
-6.4278201819852185	-6.705772611285738	-6.334636539007352
-6.4278201819852185	-6.705772611285738	-6.334636539007352
-6.4278201819852185	-6.705772611285738	-6.334636539007352
-6.4278201819852185	-6.705772611285738	-6.329040133007734
-6.4278201819852185	-6.705772611285738	-6.329040133007734
-6.4278201819852185	-6.663440721638602	-6.329040133007734
-6.426874660937997	-6.663440721638602	-6.329040133007734
-6.426874660937997	-6.663440721638602	-6.329040133007734
-6.426874660937997	-6.663440721638602	-6.329040133007734
-6.426874660937997	-6.663440721638602	-6.329040133007734
-6.426874660937997	-6.663440721638602	-6.276538391293469
-6.426874660937997	-6.663440721638602	-6.262573967316231
-6.426874660937997	-6.663440721638602	-6.262573967316231
-6.426874660937997	-6.663440721638602	-6.262573967316231
-6.414360690108417	-6.663440721638602	-6.262573967316231
-6.4069476438671895	-6.663440721638602	-6.262573967316231
-6.4069476438671895	-6.636502917013935	-6.262573967316231
-6.4069476438671895	-6.636502917013935	-6.262573967316231
-6.4069476438671895	-6.592549409615174	-6.262573967316231
-6.4069476438671895	-6.551041131893703	-6.262573967316231
-6.391784507675219	-6.551041131893703	-6.262573967316231
-6.391784507675219	-6.527530027869437	-6.262573967316231
-6.391784507675219	-6.527530027869437	-6.262573967316231
-6.391784507675219	-6.527530027869437	-6.262573967316231
-6.389412027925155	-6.527530027869437	-6.262573967316231
-6.375455763037984	-6.527530027869437	-6.2526365517525875
-6.373116725648908	-6.5176518644829535	-6.251260987304676
-6.373116725648908	-6.5176518644829535	-6.251260987304676
-6.373116725648908	-6.5176518644829535	-6.251260987304676
-6.373116725648908	-6.5176518644829535	-6.251260987304676
-6.373116725648908	-6.5052714964868334	-6.244854614438727
-6.373116725648908	-6.5052714964868334	-6.244854614438727
-6.373116725648908	-6.49347050189048	-6.244854614438727
-6.373116725648908	-6.49347050189048	-6.244854614438727
-6.373116725648908	-6.49347050189048	-6.244854614438727
-6.373116725648908	-6.49347050189048	-6.244854614438727
-6.373116725648908	-6.49347050189048	-6.242278049286382
-6.373116725648908	-6.49347050189048	-6.234548796218843
-6.373116725648908	-6.49347050189048	-6.234548796218843
-6.373116725648908	-6.49347050189048	-6.234548796218843
-6.373116725648908	-6.49347050189048	-6.234548796218843
-6.373116725648908	-6.49347050189048	-6.234548796218843
-6.373116725648908	-6.4503319910418435	-6.2285199670682525
-6.373116725648908	-6.4503319910418435	-6.2285199670682525
-6.373116725648908	-6.4503319910418435	-6.2285199670682525
-6.352312501991979	-6.437073317789043	-6.226319976009913
-6.352312501991979	-6.437073317789043	-6.226319976009913
-6.352312501991979	-6.437073317789043	-6.226319976009913
-6.352312501991979	-6.437073317789043	-6.226319976009913
-6.352312501991979	-6.437073317789043	-6.226319976009913
-6.352312501991979	-6.437073317789043	-6.226319976009913
-6.352312501991979	-6.437073317789043	-6.226319976009913
-6.341868416565886	-6.437073317789043	-6.226319976009913
-6.341868416565886	-6.437073317789043	-6.226319976009913
-6.334422095608311	-6.437073317789043	-6.226319976009913
-6.334422095608311	-6.416571778647191	-6.226319976009913
-6.334422095608311	-6.4081906245803175	-6.217914967735464
-6.334422095608311	-6.4081906245803175	-6.210677147646729
-6.334422095608311	-6.400370017568828	-6.210677147646729
-6.3175743064597905	-6.400370017568828	-6.210677147646729
-6.3175743064597905	-6.400370017568828	-6.210677147646729
-6.3175743064597905	-6.400370017568828	-6.210677147646729
-6.314441392989878	-6.400370017568828	-6.210677147646729
-6.314441392989878	-6.400370017568828	-6.210677147646729
-6.307384863810087	-6.3940421431243175	-6.210677147646729
-6.307384863810087	-6.3940421431243175	-6.210677147646729
-6.307384863810087	-6.3940421431243175	-6.210677147646729
-6.307384863810087	-6.3940421431243175	-6.209907565193988
-6.307384863810087	-6.3940421431243175	-6.209907565193988
-6.307384863810087	-6.3940421431243175	-6.209907565193988
-6.307384863810087	-6.3940421431243175	-6.209907565193988
-6.303243503330423	-6.3940421431243175	-6.209907565193988
-6.297981015952801	-6.391724782929715	-6.208342719335994
-6.297981015952801	-6.391724782929715	-6.186159332439551
-6.297981015952801	-6.391724782929715	-6.186159332439551
-6.25954772900794	-6.391724782929715	-6.186159332439551
-6.25954772900794	-6.391724782929715	-6.162306093280922
-6.252017441565977	-6.3872070717458325	-6.162306093280922
-6.252017441565977	-6.3872070717458325	-6.160405910123865
-6.252017441565977	-6.376149386541822	-6.160405910123865
-6.252017441565977	-6.376149386541822	-6.160405910123865
-6.252017441565977	-6.376149386541822	-6.160405910123865
-6.252017441565977	-6.376149386541822	-6.160405910123865
-6.252017441565977	-6.376149386541822	-6.160405910123865
-6.252017441565977	-6.376149386541822	-6.1466749741684765
-6.252017441565977	-6.376149386541822	-6.1466749741684765
-6.252017441565977	-6.376149386541822	-6.1466749741684765
-6.252017441565977	-6.376149386541822	-6.145513465234593
-6.252017441565977	-6.376149386541822	-6.145513465234593
-6.252017441565977	-6.376149386541822	-6.145513465234593
-6.252017441565977	-6.376149386541822	-6.145513465234593
-6.252017441565977	-6.366700614889135	-6.1453633126278095
-6.252017441565977	-6.366700614889135	-6.13988412318772
-6.252017441565977	-6.366700614889135	-6.13988412318772
