Nosketch	Sketch1	Sketch2	Sketch3
0.1546030188957824	0.13277687253552486	0.09695889475643535	0.06638512867287932
0.23345241152367538	0.10014250363592779	0.11178202562515899	0.004631795683624838
0.17606363785712453	0.21900105501649741	0.16378243432643022	0.11940355744196661
0.12695841080952094	0.18284711277666665	0.20486147267522176	0.03132886187379634
0.10116392174504366	0.2230798360072404	0.10480063612511581	0.06085185761917846
0.17983449965238363	0.08780929969184881	0.1531026883243093	-0.029841923226238146
0.29350462714917974	0.18278735831470702	0.055165351511236776	0.06076010193868715
0.24587886545713408	0.12563033661558765	0.16124031154907287	0.124109550266461
0.1558467828557871	0.09575561286471444	0.032112002597305976	0.055507112211116615
0.22449267131623724	0.32793204066060705	0.11101969828747532	0.04212933633589881
0.3015142635470678	0.31485417703693847	0.28429361005745224	-0.03704121727909715
0.19532580486547677	0.14895800500818906	0.3036668155050065	0.3393189252024911
0.199837918848512	0.1282025498694894	0.1347768108576569	0.16673497899908593
0.25389404217246864	0.22611199350063718	0.0908229835891414	0.11702078138645129
0.15059240902499735	0.17469271026409752	0.10195715146841769	0.1228233628263573
0.2767399037520661	0.22923339106185714	0.15583901165617828	-0.02082762197816943
0.23190314749473015	0.16595743146438705	0.16122478320466327	0.062224821460881916
0.12422703466466517	0.10618141108867692	0.2133852030832139	-0.0285366923921549
0.1993435827792467	0.1578449989161386	0.12181567664430758	-0.03153526901727197
0.1534797253310413	0.14726176423013754	0.08670592956841865	0.018369030507770858
0.2403468391004594	0.1963187249848055	0.1519225563211908	0.034584551537973116
0.24301206345784504	0.11710514957144753	0.05203011112240283	0.02020276402250248
0.26865261436665894	0.11128377866177737	0.13264153016888056	0.12255335399697263
0.16664935042975423	0.15398117049623866	0.08211592372425716	0.04974026924054237
0.260867196569563	0.16186306366165792	0.10949188023099622	0.0032449491176565516
0.07024174991431796	0.12290367764251194	0.15480409707368617	0.055476502699259245
0.28551058178053057	0.13877907003238116	0.11819444364338969	0.023423868495029174
0.1663493113674266	0.12483969384113443	0.1400650856050586	0.01475545395629667
0.2752327156269911	0.1605377041920115	0.1612774934596546	0.08986099402462824
0.1685419755472206	0.14552164232905068	0.12237244025640266	0.014252373066089298
