ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
-inf	87.935	9.5	82.815	58.79	-13.792110610561762	0	0	181	10	177	121	40	9	36	27	0	0	20.649048805236816	200	20.649048805236816	200	0.0	
-inf	87.075	9.76923076923077	66.64102564102564	47.58974358974359	-13.792110610561762	1	161	197	13.0	120.0	83.0	13	9.0	34.0	26.0	0	0	0.17138099670410156	400	20.820429801940918	229	42.75	
-inf	86.92	9.816326530612244	70.81632653061224	50.40816326530612	-13.792110610561762	2	312	240	14.0	166.0	116.0	6	9.0	39.0	29.0	0	0	0.3419930934906006	600	21.16242289543152	264	56.0	
-inf	93.24	10.24074074074074	79.83333333333333	56.388888888888886	-13.792110610561762	3	458	249	15.0	167.0	119.0	10	9.0	26.0	21.0	0	0	0.5261311531066895	800	21.688554048538208	297	62.875	
-inf	90.29	10.171875	78.328125	55.546875	-13.792110610561762	4	594	198	14.0	166.0	116.0	10	9.0	30.0	24.0	0	0	1.2072827816009521	1000	22.89583683013916	344	65.6	
-inf	98.065	10.397435897435898	81.66666666666667	57.794871794871796	-13.792110610561762	5	716	208	15.0	174.0	120.0	11	9.0	28.0	22.0	0	0	0.6914401054382324	1200	23.587276935577393	401	66.58333333333334	
-inf	108.585	10.743243243243244	87.85135135135135	61.972972972972975	-12.194984093275497	6	842	213	16.0	182.0	124.0	18	9.0	38.0	29.0	0	0	0.8233580589294434	1400	24.410634994506836	449	67.92857142857143	
-inf	115.39	11.105263157894736	94.78947368421052	66.54736842105264	-12.194984093275497	7	947	267	21.0	221.0	148.0	19	9.0	38.0	29.0	0	0	1.0413949489593506	1600	25.452029943466187	512	68.0	
-inf	113.795	10.835443037974683	88.83544303797468	62.59493670886076	-11.02737173872207	8	1068	241	16.0	190.0	130.0	44	9.0	38.0	29.0	0	0	1.0139319896697998	1800	26.465961933135986	564	68.66666666666666	
-inf	117.265	10.81081081081081	87.3108108108108	61.54054054054054	-11.02737173872207	9	1194	263	13.0	148.0	104.0	35	9.0	44.0	33.0	0	0	1.0848109722137451	2000	27.55077290534973	611	69.45	
-inf	113.305	10.76923076923077	87.68131868131869	61.7032967032967	-11.02737173872207	10	1303	263	15.0	148.0	104.0	22	9.0	42.0	31.0	0	0	0.8052370548248291	2200	28.35600996017456	671	69.5	
-inf	116.0	10.517241379310345	84.33333333333333	59.770114942528735	-11.02737173872207	11	1416	264	16.0	165.0	113.0	22	9.0	36.0	27.0	0	0	0.8355319499969482	2400	29.19154191017151	722	69.91666666666666	
-inf	122.67	10.706666666666667	94.05333333333333	66.58666666666667	-10.829998001795307	12	1541	251	16.0	236.0	170.0	15	9.0	38.0	29.0	0	0	1.0088121891021729	2600	30.20035409927368	774	70.23076923076923	
-inf	130.265	10.4625	90.15	63.7625	-10.829998001795307	13	1661	270	17.0	184.0	127.0	22	9.0	42.0	31.0	0	0	2.035418748855591	2800	32.23577284812927	830	70.35714285714286	
-inf	136.47	10.430555555555555	90.54166666666667	64.5	-10.829998001795307	14	1789	269	17.0	226.0	158.0	26	9.0	40.0	30.0	0	0	1.2030808925628662	3000	33.43885374069214	878	70.73333333333333	
-inf	136.25	10.621951219512194	98.65853658536585	70.48780487804878	-10.829998001795307	15	1907	254	17.0	227.0	164.0	16	9.0	40.0	30.0	0	0	1.870744228363037	3200	35.309597969055176	933	70.84375	
-inf	139.24	11.08641975308642	108.04938271604938	76.87654320987654	-10.829998001795307	16	2026	245	16.0	184.0	125.0	26	9.0	54.0	39.0	0	0	0.5878119468688965	3400	35.89740991592407	983	71.08823529411765	
-inf	147.77	11.114285714285714	107.98571428571428	77.08571428571429	-10.829998001795307	17	2156	287	16.0	184.0	125.0	10	9.0	57.0	41.0	0	0	0.36692380905151367	3600	36.264333724975586	1026	71.5	
-inf	156.295	11.277777777777779	110.82222222222222	79.2	-7.557931010104173	18	2266	370	17.0	219.0	154.0	23	9.0	55.0	39.0	0	0	2.241253137588501	3800	38.50558686256409	1087	71.39473684210526	
-inf	153.085	11.35	111.1625	79.65	-7.557931010104173	19	2386	370	14.0	188.0	135.0	14	9.0	47.0	34.0	0	0	0.9030861854553223	4000	39.40867304801941	1131	71.725	
-inf	163.04	11.31081081081081	111.91891891891892	79.63513513513513	-7.557931010104173	20	2512	397	15.0	192.0	135.0	34	9.0	46.0	34.0	0	0	1.0702128410339355	4200	40.478885889053345	1180	71.9047619047619	
-inf	172.235	11.317073170731707	108.58536585365853	77.0609756097561	-7.491375728492147	21	2630	503	18.0	214.0	150.0	26	9.0	40.0	30.0	0	0	1.1532831192016602	4400	41.632169008255005	1234	71.95454545454545	
-inf	173.985	11.173469387755102	108.0204081632653	76.51020408163265	-7.491375728492147	22	2732	417	15.0	217.0	148.0	29	9.0	46.0	34.0	0	0	1.3578360080718994	4600	42.990005016326904	1290	71.95652173913044	
-inf	190.02	11.694736842105263	117.23157894736842	82.53684210526316	-7.418874938313007	23	2837	447	17.0	196.0	136.0	14	9.0	46.0	34.0	0	0	1.8088798522949219	4800	44.798884868621826	1355	71.77083333333333	
-inf	184.98	12.10989010989011	122.42857142857143	86.02197802197803	-7.418874938313007	24	2946	405	19.0	240.0	166.0	35	9.0	49.0	35.0	0	0	2.9608449935913086	5000	47.759729862213135	1417	71.66	
-inf	199.74	12.012195121951219	120.98780487804878	84.98780487804878	-7.418874938313007	25	3064	407	17.0	268.0	186.0	21	9.0	48.0	35.0	0	0	3.286520004272461	5200	51.046249866485596	1470	71.73076923076923	
-inf	199.58	12.376344086021506	126.21505376344086	88.68817204301075	-7.418874938313007	26	3171	470	17.0	288.0	200.0	11	9.0	46.0	33.0	0	0	9.854148864746094	5400	60.90039873123169	1527	71.72222222222223	
-inf	201.305	12.043956043956044	118.04395604395604	82.84615384615384	-7.418874938313007	27	3280	470	21.0	323.0	224.0	44	9.0	44.0	33.0	0	0	4.592275381088257	5600	65.49267411231995	1585	71.69642857142857	
-inf	187.7	11.977272727272727	112.7159090909091	78.82954545454545	-7.418874938313007	28	3392	474	18.0	288.0	200.0	22	9.0	43.0	31.0	0	0	1.0322837829589844	5800	66.52495789527893	1640	71.72413793103448	
-inf	195.935	12.0	117.64044943820225	82.28089887640449	-7.412998425503873	29	3503	554	18.0	302.0	209.0	30	9.0	40.0	30.0	0	0	6.041485071182251	6000	72.56644296646118	1705	71.58333333333333	
-inf	197.605	12.285714285714286	121.74725274725274	85.16483516483517	-7.412998425503873	30	3612	447	17.0	288.0	200.0	36	9.0	36.0	27.0	0	0	12.395216941833496	6200	84.96165990829468	1766	71.51612903225806	
-inf	205.495	12.181818181818182	119.55555555555556	83.75757575757575	-7.411352492435799	31	3713	497	17.0	288.0	200.0	21	9.0	36.0	27.0	0	0	4.052766799926758	6400	89.01442670822144	1832	71.375	
-inf	203.235	11.938775510204081	116.71428571428571	81.83673469387755	-7.411352492435799	32	3815	528	20.0	403.0	287.0	44	9.0	49.0	35.0	0	0	437.5063941478729	6600	526.5208208560944	1895	71.28787878787878	
-inf	204.84	11.839080459770114	114.58620689655173	80.08045977011494	-7.411352492435799	33	3928	528	17.0	338.0	235.0	43	9.0	45.0	32.0	0	0	7.244750022888184	6800	533.7655708789825	1960	71.1764705882353	
-inf	192.185	11.380952380952381	100.58095238095238	70.54285714285714	-7.279449811156399	34	4023	545	17.0	225.0	154.0	36	9.0	47.0	34.0	0	0	1.1841540336608887	7000	534.9497249126434	2037	70.9	
-inf	192.68	11.577981651376147	109.57798165137615	76.69724770642202	-7.279449811156399	35	4114	528	22.0	322.0	222.0	17	9.0	47.0	34.0	0	0	7.997588872909546	7200	542.947313785553	2118	70.58333333333333	
-inf	204.115	11.494949494949495	109.96969696969697	77.08080808080808	-7.279449811156399	36	4215	479	17.0	245.0	171.0	47	9.0	51.0	36.0	0	0	1.051321268081665	7400	543.9986350536346	2179	70.55405405405406	
-inf	196.9	12.048076923076923	120.25961538461539	84.13461538461539	-7.279449811156399	37	4311	558	18.0	245.0	171.0	39	9.0	46.0	34.0	0	0	0.9996118545532227	7600	544.9982469081879	2249	70.40789473684211	
-inf	195.765	11.75	115.375	80.82692307692308	-7.279449811156399	38	4407	426	19.0	293.0	210.0	36	9.0	51.0	37.0	0	0	0.9056479930877686	7800	545.9038949012756	2319	70.26923076923077	
-inf	188.905	11.597826086956522	111.3804347826087	78.20652173913044	-7.279449811156399	39	4515	350	17.0	245.0	171.0	56	9.0	42.0	31.0	0	0	0.8300340175628662	8000	546.7339289188385	2383	70.2125	
-inf	195.93	11.712871287128714	112.75247524752476	79.03960396039604	-7.279449811156399	40	4614	436	17.0	314.0	218.0	32	9.0	44.0	33.0	0	0	0.7863969802856445	8200	547.5203258991241	2448	70.14634146341464	
-inf	196.93	11.98076923076923	120.875	84.34615384615384	-7.255104307575343	41	4710	564	19.0	268.0	189.0	22	9.0	47.0	35.0	0	0	3.470653772354126	8400	550.9909796714783	2522	69.97619047619048	
-inf	191.08	11.551020408163266	112.59183673469387	78.68367346938776	-7.210121588826726	42	4812	380	19.0	316.0	223.0	53	9.0	47.0	34.0	0	0	1.1942384243011475	8600	552.1852180957794	2587	69.9186046511628	
-inf	199.54	11.730434782608695	116.12173913043478	80.90434782608696	-7.179862437029324	43	4897	382	19.0	251.0	176.0	70	9.0	48.0	34.0	0	0	1.2656536102294922	8800	553.4508717060089	2663	69.73863636363636	
-inf	204.695	12.147058823529411	125.26470588235294	87.55882352941177	-7.179862437029324	44	4995	386	19.0	251.0	176.0	23	9.0	48.0	34.0	0	0	1.489011287689209	9000	554.9398829936981	2740	69.55555555555556	
