# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = unif_model
# start_datetime = 2024-03-21 15:42:54 UTC
# method = sample (Default)
#   sample
#     num_samples = 50000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 1758954680 (Default)
# output
#   file = examples\randomwalk\unifMCMC.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,step,x
# Adaptation terminated
# Step size = 0.297629
# Diagonal elements of inverse mass matrix:
# 0.0870014
0,0.666667,0.297629,1,3,1,0.324212,0.869979,10
0,0.8,0.297629,2,5,1,0.141828,0.776468,10
0,0.8,0.297629,2,5,1,0.278419,0.907486,10
0,0.875,0.297629,3,8,1,1.04509,0.399807,-10
0,0.933333,0.297629,3,15,1,0.210572,0.741633,-10
0,0.96,0.297629,4,25,1,0.00972084,0.827318,10
0,0.909091,0.297629,3,11,1,0.043684,0.77542,10
0,0.888889,0.297629,3,9,1,0.205211,0.550456,-10
0,0.995781,0.297629,7,237,1,0.000429956,0.663727,-10
0,0.947368,0.297629,4,19,1,0.0277609,0.911955,10
0,0.969697,0.297629,5,33,1,0.0594903,0.215482,-10
0,0.666667,0.297629,1,3,1,0.403949,0.136574,-10
0,0.666667,0.297629,1,3,1,0.203552,0.080561,-10
0,0.5,0.297629,1,2,1,0.147541,0.0328729,-10
0,0.75,0.297629,2,4,1,0.590182,0.319006,-10
0,0.997268,0.297629,8,366,1,5.16795e-005,0.153892,-10
0,0.833333,0.297629,2,6,1,0.0526367,0.0684403,-10
0,0.888889,0.297629,3,9,1,0.0157424,0.0995948,-10
0,0.833333,0.297629,2,6,1,0.131686,0.189701,-10
0,0.978261,0.297629,5,46,1,0.0256066,0.606905,-10
0,0.974359,0.297629,5,39,1,0.0295612,0.47883,-10
0,0.833333,0.297629,2,6,1,1.10508,0.739853,-10
0,0.909091,0.297629,3,11,1,0.0781342,0.843964,10
0,0.5,0.297629,1,2,1,0.654048,0.94437,10
0,0.888889,0.297629,3,9,1,0.136538,0.760868,10
0,0.666667,0.297629,1,3,1,0.487909,0.847589,10
0,0.666667,0.297629,1,3,1,0.380466,0.771009,10
0,0.988095,0.297629,6,84,1,0.00826982,0.0597263,-10
0,0.944444,0.297629,4,18,1,0.00481998,0.128681,-10
0,0.888889,0.297629,3,9,1,0.434229,0.537738,-10
0,0.8,0.297629,2,5,1,1.45212,0.38813,-10
0,0.875,0.297629,3,8,1,1.00191,0.760942,10
0,0.666667,0.297629,1,3,1,0.592658,0.856519,10
0,0.909091,0.297629,3,11,1,0.116741,0.559583,-10
0,0.833333,0.297629,2,6,1,2.03514,0.205357,-10
0,0.888889,0.297629,3,9,1,0.342889,0.641553,-10
0,0.857143,0.297629,2,7,1,0.357337,0.493123,-10
0,0.933333,0.297629,3,15,1,0.116809,0.620418,-10
0,0.833333,0.297629,2,6,1,0.917523,0.501496,-10
0,0.8,0.297629,2,5,1,2.454,0.890471,10
0,0.833333,0.297629,2,6,1,1.58374,0.421746,-10
0,0.98,0.297629,5,50,1,0.0104363,0.459796,-10
0,0.875,0.297629,3,8,1,0.743315,0.352757,-10
0,0.944444,0.297629,4,18,1,0.126274,0.617462,-10
0,0.95,0.297629,4,20,1,0.103899,0.377352,-10
0,0.875,0.297629,3,8,1,0.905396,0.849886,10
0,0.923077,0.297629,3,13,1,0.316863,0.500456,-10
0,0.941176,0.297629,4,17,1,0.0766915,0.294166,-10
0,0.954545,0.297629,4,22,1,0.0997677,0.607883,-10
0,0.973684,0.297629,5,38,1,0.0365281,0.346871,-10
0,0.95,0.297629,4,20,1,0.0973431,0.734224,-10
0,0.666667,0.297629,1,3,1,0.743482,0.841274,10
0,0.8,0.297629,2,5,1,0.908055,0.604661,-10
0,0.96,0.297629,4,25,1,0.0421936,0.247631,-10
0,0.888889,0.297629,3,9,1,0.135068,0.202003,-10
0,0.967742,0.297629,4,31,1,0.0595015,0.53513,-10
0,0.857143,0.297629,2,7,1,0.523146,0.355535,-10
0,0.9,0.297629,3,10,1,0.222997,0.296907,-10
0,0.888889,0.297629,3,9,1,0.709718,0.715273,-10
0,0.979167,0.297629,5,48,1,0.00341426,0.780563,10
0,0.875,0.297629,3,8,1,0.496863,0.430511,-10
0,0.9,0.297629,3,10,1,0.318438,0.780808,10
0,0.857143,0.297629,2,7,1,0.264873,0.653017,-10
0,0.888889,0.297629,3,9,1,0.78145,0.323767,-10
0,0.941176,0.297629,4,17,1,0.0741479,0.18854,-10
0,0.888889,0.297629,3,9,1,0.398387,0.501989,-10
0,0.992857,0.297629,7,140,1,0.00170039,0.28185,-10
0,0.989362,0.297629,6,94,1,0.00592361,0.606732,-10
0,0.977273,0.297629,5,44,1,0.0140683,0.34167,-10
0,0.75,0.297629,2,4,1,2.33723,0.721277,-10
0,0.857143,0.297629,2,7,1,0.414094,0.561493,-10
0,0.857143,0.297629,2,7,1,0.534357,0.470738,-10
0,0.833333,0.297629,2,6,1,0.405126,0.233672,-10
0,0.857143,0.297629,2,7,1,0.19254,0.288149,-10
0,0.888889,0.297629,3,9,1,0.121821,0.158151,-10
0,0.5,0.297629,1,2,1,0.717158,0.0530131,-10
0,0.96,0.297629,4,25,1,0.000712025,0.0695773,-10
0,0.5,0.297629,1,2,1,2.39625,0.261763,-10
0,0.980769,0.297629,5,52,1,0.0141951,0.631559,-10
0,0.956522,0.297629,4,23,1,0.0195494,0.753071,10
0,0.5,0.297629,1,2,1,1.30726,0.895021,10
0,0.978723,0.297629,5,47,1,0.0251258,0.324316,-10
0,0.833333,0.297629,2,6,1,1.36733,0.614665,-10
0,0.964286,0.297629,4,28,1,0.0767459,0.889816,10
0,0.666667,0.297629,1,3,1,0.687591,0.786868,10
0,0.666667,0.297629,1,3,1,1.17008,0.652572,-10
0,0.916667,0.297629,3,12,1,0.11938,0.781261,10
0,0.875,0.297629,3,8,1,0.619862,0.488022,-10
0,0.962963,0.297629,4,27,1,0.0723693,0.287629,-10
0,0.974359,0.297629,5,39,1,0.0437241,0.573195,-10
0,0.980392,0.297629,5,51,1,0.012029,0.287247,-10
0,0.975,0.297629,5,40,1,0.00594651,0.201082,-10
0,0.666667,0.297629,1,3,1,2.0732,0.379844,-10
0,0.857143,0.297629,2,7,1,1.03361,0.253622,-10
0,0.941176,0.297629,4,17,1,0.0488325,0.0890112,-10
0,0.977273,0.297629,5,44,1,0.0010093,0.120565,-10
0,0.9,0.297629,3,10,1,0.0669905,0.216966,-10
0,0.75,0.297629,2,4,1,3.97637,0.959675,10
0,0,0.297629,0,1,1,0.15533,0.959675,10
0,0.75,0.297629,2,4,1,0.851601,0.615964,-10
0,0.923077,0.297629,3,13,1,0.164751,0.364,-10
0,0.666667,0.297629,1,3,1,1.6367,0.205168,-10
0,0.916667,0.297629,3,12,1,0.502887,0.645378,-10
